object	status	role	open_or_forbidden_promotion
complete Lorentzian metric history	SUPPLIED	Defines Levi-Civita connection curvature null cones and screens	Not selected by G290
Levi-Civita connection	DERIVED_CONDITIONAL	Unique metric-compatible torsion-free connection of supplied metric	Evaluator not dynamics
projectivized null-direction sphere	CONDITIONAL_DERIVED_FIBER	Conformal celestial fiber after accepted four-dimensional Lorentzian readout	Not fixed round carrier or selected section
completed pair state	DERIVED_CONDITIONAL	Includes screen and mixing before terminal readout	Physical germ/path population remains open
observer or time orientation	SUPPLIED_OR_EXISTING_CONDITIONAL	Needed by observer-rest-space reductions	Not metric-canonical in generic spacetime
spatial slice or relation domain	SUPPLIED	Domain for any three-dimensional section invariant	No preferred foliation derived
frame or trivialization	GAUGE_OR_SUPPLIED	Permits component display	Raw component Hopf class cannot be promoted
boundary framing or constant exterior	OPEN	Would permit a relative integer	Must not be chosen to recover old Hopfion
curvature or Jacobi spectral projector	DERIVED_WHERE_NONDEGENERATE	Possible intrinsic section/eigenbundle candidate	Degeneracies and global extension open
holonomy conjugacy data	DERIVED_CONDITIONAL	Gauge-invariant metric discriminator along supplied loops	Loop/path population and history selection open
topological persistence	CONDITIONAL	Kinematic only under supplied smooth nonsingular continuation and fixed boundary	Not an evolution equation
historical round S2 and L2 plus L4	POSIT_OR_CONDITIONAL_IMPORT	Comparison control only	Not native carrier action or selector
physical history law	OPEN	Would restrict or propagate complete metrics	Cannot be inferred from mere evaluation
