object	status	role	open_or_forbidden_promotion
Lorentzian metric history	SUPPLIED	Defines Levi-Civita connection and null geometry	Not selected or propagated
complete pair network or null congruence	SUPPLIED_REGULAR	Provides relation base and path labels	Physical population remains open
positive rank-two screen bundle and projection	DERIVED_CONDITIONAL_ON_SUPPLIED_PAIR_CARRY	Defines projected connection	Not obtained from a bare null line
screen orientation	FREE_AND_EXPLORED	Selects SO2 phase convention	Without it retain O2 inverse/conjugacy data
screen orthonormal frame	GAUGE	Local connection display	No component frame is physical
closed loop and loop worldtube	SUPPLIED	Domain for holonomy and transgression	No preferred physical loop is selected
representative metric scale	SUPPLIED_HISTORY_DATA	Makes Levi-Civita screen connection conformally sensitive	No absolute scale or history law follows
conformal parameter alpha or alpha(t)	FREE_AND_EXPLORED	Exact separator/control family	No fitted value or observational attachment
Levi-Civita and projected screen connection	DERIVED_CONDITIONAL	Metric-native evaluator on supplied carry	Not dynamics or persistence
curvature flux	DERIVED_CONDITIONAL	Controls closed-loop holonomy change	Its values are not selected
action source field equation boundary observation mass Planck scale X_max	FORBIDDEN	None	Must not enter derivation
