completion_id	source_selection_status	registered_concrete_representatives	metric_witness_status	founded_pair_pullback_gate
FC01_BOUNDARY_BOUNDARY	REGISTERED_ALTERNATIVE	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC02_ONE_CAP_BOUNDARY	REGISTERED_ALTERNATIVE	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC03_TWO_CAP_P0	REGISTERED_ALTERNATIVE	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC04_TWO_CAP_P1	UNIQUE_ONLY_INSIDE_SUPPLIED_OPPOSITE_EIGENCIRCLE_PREMISES	Q01_ROUND_S3;Q02_SQUASHED_S3	CONCRETE_COMPLETE_REPRESENTATIVES_REGISTERED	TEST_CONCRETE_REPRESENTATIVES
FC05_TWO_CAP_P_GT1	REGISTERED_ALTERNATIVE	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC06_NONPRIMITIVE_CAP	RETAINED_MATHEMATICAL_BRANCH	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC07_PERIODIC_TORUS_BUNDLE	REGISTERED_GLOBAL_ALTERNATIVE_NOT_CURRENT_PHYSICAL_CELL_WITHOUT_EXTRA_JOIN	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC08_MIRROR_DOUBLE	MULTIPLE_REGISTERED_LIFTS	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC09_NONORIENTABLE_GLUE	REGISTERED_ALTERNATIVE_UNLESS_ORIENTATION_ADDED	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC10_STRATIFIED_PROJECTOR	RETAINED_NOT_FILTERED	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC11_NONINTEGRABLE_DISTRIBUTION	RETAINED_NOT_TORIC_ORBIT	-	COMPLETION_TAXONOMY_WITHOUT_ACTUAL_COMPLETE_METRIC	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC12_RECIPROCAL_TORIC_DIAGONAL	CONDITIONAL_CONTROL_NOT_SELECTED	-	PARAMETRIC_METRIC_ANSATZ_PROFILE_AND_ENDPOINT_OPEN	NO_ACTUAL_COMPLETE_REPRESENTATIVE
