source_path	role	allowed_use
udt_founded_pair_first_jet_one_form_atlas_2026-07-26/ONE_FORM_BASIS.tsv	first_jet_basis	frozen 22-form vocabulary
udt_founded_pair_first_jet_one_form_atlas_2026-07-26/ONE_FORM_OUTCOMES.tsv	first_jet_parity	orientation and ruler-sign reductions
udt_founded_pair_first_jet_one_form_atlas_2026-07-26/AUDIT_REPORT.md	prior_status	bounded universal closure result
udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	completion_universe	exact FC01-FC12 taxonomy
udt_global_metric_assembly_atlas_2026-07-22/MOTIF_COMPLETION_ATLAS.tsv	taxonomy_semantics	compatibility rows are not witnesses
udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	completion_status	global metric and selector boundaries
udt_directional_observer_pair_distance_audit_2026-07-24/CORRECTED_CONFIGURATION_REGISTRY.tsv	configuration_universe	exact Q01-Q04 census
udt_directional_observer_pair_distance_audit_2026-07-24/COMPLETE_WITNESS_LEDGER.tsv	concrete_geometry	B19 WRL and squashed statuses
udt_directional_observer_pair_distance_audit_2026-07-24/EQUATION_FAMILY_PAIR_DISTANCE_SCREEN.tsv	equation_family_screen	complete on-shell family availability
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/BRANCH_COCYCLE_ATLAS.tsv	branch_universe	clock transverse and recentering status
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/AUDIT_REPORT.md	branch_semantics	global cocycle dispositions
udt_intrinsic_clock_transverse_solder_audit_2026-07-24/BRANCH_SOLDER_ATLAS.tsv	solder_status	branch-specific solder gates
udt_intrinsic_clock_transverse_solder_audit_2026-07-24/EXACT_DERIVATION.md	exact_branch_controls	B19 WRL and 3+3 algebra
udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	bootstrap_screen	28-family status without promotion
udt_finite_cell_transnormal_asymptote_branch_audit_2026-07-24/CONTROL_GATE_MATRIX.tsv	finite_cell_controls	B19 FC12 WRL gate status
udt_complete_metric_solution_space_map_2026-07-21/AUDIT_REPORT.md	parent_space_status	no single authoritative complete metric
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	frontier	current scientific status and splice prohibition
AGENTS.md	method	binding evidence and claim discipline
