id	homogeneous_pair_pullback	uses_screen_orientation	n_flip_parity	closed	exact	founded_depth_status
W01	0	NO	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
W02	0	NO	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
W03	0	NO	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
W04	0	NO	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
W05	0	NO	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
W06	0	YES	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
U01	0	NO	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
U02	0	YES	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
U03	0	NO	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
U04	0	YES	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
U05	0	NO	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
U06	0	NO	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
U07	0	YES	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
U08	0	YES	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
N01	0	NO	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
N02	0	YES	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
N03	0	NO	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
N04	0	YES	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
N05	0	NO	ODD	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
N06	0	NO	EVEN	TRIVIALLY	TRIVIALLY	NO_ZERO_FORM
N07	q*u_flat	YES	EVEN	YES	YES_AS_q_TIMES_GLOBAL_ULTRASTATIC_TIME	NO_COORDINATE_TIME_NOT_RECIPROCAL_DEPTH
N08	q*n_flat	YES	ODD	NO_d_equals_q_squared_s1_wedge_s2	NO	NO
