premise_id	object_or_choice	stamp	source_or_role	prohibited_promotion
P01	Xmax_is_global_observer_pair_supremum	WORKING_OWNER_MEANING	udt_xmax_observer_separation_audit_2026-07-24	not_metric_derived_yet
P02	complete_Lorentzian_metric_and_coframe	PINNED_BY_REGISTERED_SCOPE	current_complete_metric_atlases	no_WRL_parent_substitution
P03	phi_is_metric_scalar_with_distinct_causal_strata	PINNED_BY_PRIOR_DERIVATION	dphi_Cartan_and_ontology_audits	no_universal_timelike_phi
P04	time_orientation	PINNED_ONLY_WHERE_DECLARED	prior_local_observer_audits	no_global_time_function_claim
P05	admissible_observer_set	OPEN	target_object	no_material_observer_invention
P06	event_pairing_relation	OPEN	target_object	no_imported_simultaneity_or_radar
P07	nonnegative_separation_functional	OPEN	target_object	no_absolute_Lorentzian_interval_by_habit
P08	observer_pair_exchange	WORKING_REQUIRED_SYMMETRY	owner_reciprocity_and_distance_type	no_fractional_law_inference
P09	physical_metric_representative	OPEN	CSN_audits	no_absolute_distance_before_selection
P10	global_topology_and_completion	OPEN	twelve_registered_completion_rows	no_preferred_completion
P11	finite_cell_seal_type	OPEN	boundary_atlases	no_edge_or_slice_inference
P12	co-presence	WORKING_OWNER_INTERPRETATION	whole_solution_membership	not_event_pairing_or_signalling
P13	Reciprocity	DERIVED_OR_OWNER_SCOPED	exact_premise_stamps	pair_symmetry_not_distance_magnitude
P14	CSN	DERIVED_SCALE_NEUTRALITY	metric_foundation	not_physical_representative
P15	bootstrap	WORKING_OUTER_ADMISSIBILITY	current_implementation	not_local_pairing_or_distance_law
P16	local_WRL_X	CONDITIONAL_STATIC_CONTROL	WRL_packages	not_global_Xmax
P17	complete_action_source_carrier_mass	OPEN	outside_scope	no_dynamics_or_mass_promotion
P18	external_GR_SR_QM_or_signal_mechanics	EXCLUDED_AS_DERIVATION	provenance_firewall	comparison_only
P19	all_dphi_causal_classes	FREE_AND_EXPLORED	complete_atlas	timelike_branch_not_silently_globalized
P20	all_registered_completion_rows	FREE_AND_EXPLORED	global_atlases	no_topology_preference
P21	numerical_scale_density_matter_time_live_GPU	OUT_OF_SCOPE	compute_boundary	not_launched
P22	historical_and_frozen_evidence	IMMUTABLE	provenance_control	overlay_only
