candidate_id	candidate	inputs_to_test	pre_adjudication_status	primary_risk
C01	pointwise_Lorentzian_interval	g_and_two_tangent_or_displacement_vectors	UNTESTED	indefinite_and_not_two_point_without_exponential_map
C02	Synge_or_geodesic_world_function	g_and_geodesic_between_events	UNTESTED	sign_null_zero_and_global_multigeodesic
C03	absolute_world_function_magnitude	abs_of_C02	UNTESTED	null_noncoincident_zero
C04	Lorentzian_time_separation	g_causal_order_supremum	UNTESTED	directed_and_zero_for_spacelike_pairs
C05	spacelike_curve_proper_length	g_and_curve	UNTESTED	path_and_event_pairing_unselected
C06	intrinsic_Riemannian_slice_distance	g_slice_and_infimum_paths	UNTESTED	slice_or_congruence_unselected
C07	supplied_observer_rest_metric	g_and_unit_timelike_u	UNTESTED	u_and_global_integrability_unselected
C08	timelike_dphi_foliation_distance	g_phi_time_orientation	UNTESTED	fails_other_dphi_causal_classes_and_may_select_preferred_congruence
C09	spacelike_dphi_gradient_depth	g_phi	UNTESTED	one_dimensional_and_angularly_incomplete
C10	null_dphi_screen_or_quotient_distance	g_phi_and_null_screen	UNTESTED	degenerate_and_screen_quotient_unselected
C11	zero_dphi_metric_distance	g_phi_zero_stratum	UNTESTED	no_intrinsic_reduction
C12	absolute_phi_difference	phi_A_phi_B	UNTESTED	dimensionless_and_zero_on_distinct_level_set_points
C13	reciprocal_projective_depth	reciprocal_pair_phi_Xmax	UNTESTED	one_dimensional_oriented_and_global_join_open
C14	WRL_coordinate_distance	static_WRL_r	UNTESTED	chart_and_local_ansatz_scoped
C15	WRL_proper_radial_distance	static_WRL_spatial_slice	UNTESTED	radial_only_and_slice_scoped
C16	WRL_optical_distance	static_WRL_lapse_and_slice	UNTESTED	signal_optical_interpretation_and_infinite_local_limit
C17	complete_coframe_path_length	coframe_and_path	UNTESTED	path_spatial_polarization_and_representative
C18	finite_cell_intrinsic_diameter	complete_cell_metric_and_completion	UNTESTED	no_selected_spatial_metric_or_completion
C19	seal_normal_distance	metric_and_seal	UNTESTED	seal_type_and_physical_boundary_open
C20	angular_fiber_geodesic_distance	fiber_metric_H	UNTESTED	fiber_not_observer_base_space
C21	torus_dual_systole_length	H_and_integral_lattice	UNTESTED	character_length_not_observer_separation
C22	curvature_eigencongruence_slice_distance	g_curvature_selected_timelike_line	UNTESTED	degeneracy_branch_dependence_and_no_universal_line
C23	causal_accessibility_or_null_cone	g_and_causal_relation	UNTESTED	relation_not_distance_magnitude
C24	principle_only_composition	Reciprocity_CSN_co-presence_bootstrap	UNTESTED	principles_may_constrain_without_constructing_domain_pairing_or_functional
