candidate_id	candidate	native_input	observer_domain	event_pairing	nonnegative	pair_exchange	identity	chart_coframe_invariant	angular_path_complete	CSN_representative_honest	causal_scope_honest	global_descent	no_hidden_premise
C01	pointwise_Lorentzian_interval	PASS	FAIL	FAIL	FAIL	PASS_LOCAL	FAIL	PASS_LOCAL	FAIL	CONDITIONAL	ALL_LOCAL_TANGENTS	FAIL	FAIL
C02	Synge_or_geodesic_world_function	PASS	FAIL	FAIL	FAIL_SIGNED	PASS_LOCAL_BRANCH	FAIL_NULL	PASS_LOCAL_NORMAL_NEIGHBORHOOD	CONDITIONAL_GEODESIC	CONDITIONAL	EVENT_CAUSAL_TYPES	FAIL_MULTIGEODESIC_OR_CUT_LOCUS	FAIL
C03	absolute_world_function_magnitude	PASS	FAIL	FAIL	PASS	PASS	FAIL_NULL	PASS_LOCAL_NORMAL_NEIGHBORHOOD	CONDITIONAL_GEODESIC	CONDITIONAL	EVENT_CAUSAL_TYPES	FAIL_MULTIGEODESIC_OR_CUT_LOCUS	FAIL
C04	Lorentzian_time_separation	PASS	FAIL	FAIL	PASS	FAIL_DIRECTED	FAIL_SPACELIKE_ZERO	PASS_CAUSAL	FAIL_SPATIAL	CONDITIONAL	CAUSAL_ONLY	CONDITIONAL_GLOBAL_HYPERBOLICITY	FAIL
C05	spacelike_curve_proper_length	PASS	FAIL	FAIL	PASS_PER_CURVE	PASS_REVERSED_CURVE	PASS_PER_REGULAR_CURVE	PASS	FAIL_PATH_CHOICE	CONDITIONAL	SPACELIKE_CURVES_ONLY	OPEN	FAIL
C06	intrinsic_Riemannian_slice_distance	PASS	FAIL_SLICE	FAIL_SLICE_PAIRING	PASS_ON_RIEMANNIAN_SLICE	PASS	PASS_CONNECTED_SLICE	PASS	PASS	FAIL_REPRESENTATIVE	SPACELIKE_SLICE_ONLY	OPEN_COMPLETENESS	FAIL
C07	supplied_observer_rest_metric	PASS	FAIL_U_SELECTION	FAIL_RESTSPACE_INTEGRABILITY	PASS_LOCAL_SCREEN	PASS	CONDITIONAL	PASS	PASS_LOCAL	FAIL_REPRESENTATIVE	TIMELIKE_U_ONLY	OPEN	FAIL
C08	timelike_dphi_foliation_distance	PASS	CONDITIONAL_ALL_FUTURE_TIMELIKE_HISTORIES	DERIVED_CONDITIONAL_EQUAL_PHI_COMMON_RANGE	PASS_ON_CONNECTED_LEVEL_SET	PASS	PASS_ON_SLICE	PASS	PASS_INTRINSIC_SLICE	CONDITIONAL_H0_VS_HF_AND_PHYSICAL_SCALE	TIMELIKE_NONNULL_ONLY	OPEN_NO_COMPLETE_BRANCH	FAIL_GLOBAL_TEMPORAL_BRANCH_AND_REPRESENTATIVE
C09	spacelike_dphi_gradient_depth	PASS	FAIL_OBSERVER	FAIL	PASS_MAGNITUDE	PASS	FAIL_LEVEL_SETS	PASS_LOCAL	FAIL_ANGULAR	CONDITIONAL	SPACELIKE_NONNULL_ONLY	OPEN	FAIL
C10	null_dphi_screen_or_quotient_distance	PASS	FAIL	FAIL	FAIL_DEGENERATE	CONDITIONAL	FAIL	PASS_TENSORIAL_NILPOTENT	FAIL	FAIL_H0_DEGENERATE	NULL_ONLY	FAIL_INTERFACE	FAIL
C11	zero_dphi_metric_distance	PASS	FAIL	FAIL	FAIL_NO_OBJECT	FAIL	FAIL	FAIL_NO_REDUCTION	FAIL	FAIL	ZERO_DPHI_ONLY	FAIL	FAIL
C12	absolute_phi_difference	PASS	FAIL	FAIL	PASS_ABSOLUTE_VALUE	PASS	FAIL_SAME_LEVEL	PASS_SCALAR	FAIL_ANGULAR	PASS_NEUTRAL	ALL	PASS_AS_SCALAR	FAIL_DISTANCE_INTERPRETATION
C13	reciprocal_projective_depth	CONDITIONAL_RECIPROCAL_REALIZATION	FAIL_GENERAL_OBSERVER_SET	CONDITIONAL_ORDERED_COMPARISON	PASS_MAGNITUDE_ONLY	PASS_AFTER_MAGNITUDE	FAIL_ANGULAR	PASS_IN_1D_CLASS	FAIL_ANGULAR	PASS_SCALE_WEIGHT_ZERO	NOT_DPHI_COMPLETE	OPEN_JOIN	FAIL_PROJECTIVE_AND_POSITION_JOINS
C14	WRL_coordinate_distance	CONDITIONAL_WRL	STATIC_CHART_OBSERVERS_ONLY	STATIC_T_PAIRING	PASS_COORDINATE_RANGE	PASS	PASS_CHART_POINTS	FAIL_CHART_LABEL	FAIL_RADIAL_ONLY	FAIL_GLOBAL_REPRESENTATIVE	STATIC_SPACELIKE_DPHI	FAIL_COMPLETE_FRAME	FAIL
C15	WRL_proper_radial_distance	CONDITIONAL_WRL	STATIC_WRL_CONGRUENCE	STATIC_T_PAIRING	PASS_RADIAL_SLICE	PASS	PASS_RADIAL_RAY	PASS_WITHIN_SLICE	FAIL_ANGULAR_AND_PATH	CONDITIONAL_REPRESENTATIVE	STATIC_SPACELIKE_DPHI	FAIL_COMPLETE_FRAME	FAIL
C16	WRL_optical_distance	CONDITIONAL_WRL	STATIC_WRL_CONGRUENCE	SIGNAL_OR_STATIONARY_T_PAIRING	PASS	PASS_RADIAL_CONTROL	PASS_RADIAL_RAY	PASS_WITHIN_STATIC_CHART	FAIL_GENERAL_PATH	CONDITIONAL_REPRESENTATIVE	STATIC_SPACELIKE_DPHI	FAIL_COMPLETE_FRAME	FAIL_SIGNAL_OR_OPTICAL_ROLE
C17	complete_coframe_path_length	PASS	FAIL_OBSERVER_POLARIZATION	FAIL	PASS_PER_SPACELIKE_PATH	PASS_PATH_REVERSE	PASS_PER_PATH	PASS_COVARIANT	CONDITIONAL_FULL_COFRAME	FAIL_PHYSICAL_REPRESENTATIVE	PATH_DEPENDENT	OPEN_HOLONOMY_AND_GLUING	FAIL_PATH_SELECTION
C18	finite_cell_intrinsic_diameter	PASS_IF_COMPLETE_CELL	FAIL_SPATIAL_QUOTIENT	FAIL	PASS_IF_RIEMANNIAN_QUOTIENT	PASS	PASS_IF_CONNECTED	PASS	PASS_IF_COMPLETE	FAIL_REPRESENTATIVE	COMPLETION_DEPENDENT	FAIL_NO_SELECTED_COMPLETE_BRANCH	FAIL
C19	seal_normal_distance	CONDITIONAL_SEAL	FAIL_OBSERVER	FAIL	CONDITIONAL_NORMAL_DISTANCE	PASS	CONDITIONAL	PASS_IF_SURFACE	FAIL_GENERAL	FAIL_REPRESENTATIVE	BOUNDARY_TYPE_DEPENDENT	FAIL_SEAL_TYPE_OPEN	FAIL_BOUNDARY_PREMISE
C20	angular_fiber_geodesic_distance	PASS_ON_FIBER	FAIL_BASE_OBSERVERS	FAIL	PASS_FIBER	PASS	PASS_FIBER	PASS_LATTICE_CHART_QUALIFIED	PASS_FIBER	PASS_NORMALIZED_SHAPE	TORIC_FIBER_ONLY	CONDITIONAL_TORIC_DESCENT	FAIL_TYPE_MISMATCH
