gate_id	gate	failure_condition	required_ruling
F01	native_inputs	imported_observer_signal_or_field_equation_mechanics	REJECT_NON_NATIVE
F02	observer_domain	no_derived_or_explicit_conditional_observer_set	OPEN_DOMAIN
F03	event_pairing	no_derived_or_explicit_conditional_comparison_rule	OPEN_PAIRING
F04	nonnegativity	negative_values_on_claimed_domain	REJECT_DISTANCE
F05	pair_exchange	D_A_B_not_equal_D_B_A	REJECT_DISTANCE
F06	coincidence	noncoincident_claimed_observers_have_zero_distance	REJECT_DISTANCE
F07	invariance	chart_or_coframe_reference_changes_value	REJECT_INVARIANT
F08	angular_completeness	distinct_angular_points_collapse_without_quotient	REJECT_COMPLETE_DISTANCE
F09	path_selection	multiple_paths_change_value_without_native_extremization	OPEN_PATH
F10	CSN_scope	absolute_distance_claimed_before_physical_representative	OPEN_SCALE
F11	causal_coverage	dphi_branch_excluded_without_conditional_stamp	REJECT_UNIVERSAL
F12	global_descent	completion_or_monodromy_changes_or_obstructs_object	OPEN_GLOBAL
F13	principle_inference	principle_only_constraint_called_constructed_Dg	REJECT_PROMOTION
F14	WRL_globalization	local_WRL_candidate_called_complete_metric_distance	REJECT_PROMOTION
F15	Xmax_circularity	Xmax_used_to_define_Dg_then_result_called_derivation_of_Xmax	REJECT_CIRCULAR
F16	scope	action_source_boundary_topology_mass_density_or_GPU_added	REJECT_SCOPE
