principle_id	structure	supplies	does_not_supply	ruling
P01	complete_Lorentzian_metric	cones_inner_products_path_integrands	no_preferred_observer_or_spatial_quotient	CONSTRAINS_NOT_SELECTS
P02	phi_and_dphi	signed_scalar_and_causal_stratified_line_where_nonnull	observer_physicality_and_global_causal_type	CONDITIONAL_GEOMETRIC_REDUCTION
P03	Reciprocity	pair_exchange_and_reciprocal_character_with_exact_stamps	observer_domain_pairing_and_distance_magnitude	CONSTRAINS_NOT_SELECTS
P04	CSN	conformal_cones_normalized_shapes_h0_and_hf_pre_scale_families	physical_representative_and_absolute_length	CONSTRAINS_NOT_SELECTS
P05	finite_cell	finite_completion_requirement_and_taxonomy	completion_topology_spatial_slice_and_metric	CONSTRAINS_NOT_SELECTS
P06	static_seal	phi_value_parity_and_one_tangent_condition	observer_pairing_surface_type_and_complete_boundary	CONSTRAINS_NOT_SELECTS
P07	co_presence	events_belong_to_one_complete_solution	simultaneity_event_pairing_or_information_access	NOT_A_SELECTOR
P08	bootstrap	after_solution_admissibility_and_future_global_fork	local_pairing_metric_or_response_operator	NOT_EXECUTABLE_SELECTOR
P09	angular_coframe_H_S	full_angular_shape_shift_and_holonomy_data_on_supplied_branch	spatial_base_slice_observer_section_and_completion	NECESSARY_NOT_SUFFICIENT
P10	connector_lapse_shift	exact_distance_and_optical_integrands_after_path_threading	physical_threading_path_and_global connector	OPEN_SELECTOR
P11	Xmax_owner_meaning	target_global_supremum_type	Dg_definition	TARGET_NOT_CONSTRUCTOR
P12	c_E_anchor	local_clock_length_conversion_after calibration	global_pairing_or_absolute_Xmax	CALIBRATES_NOT_SELECTS
