premise_id	preregistered_stamp	final_use	result
P01	WORKING_OWNER_MEANING	target_supremum	RETAINED_NOT_COMPUTED
P02	PINNED_BY_REGISTERED_SCOPE	complete_metric_source	RETAINED
P03	PINNED_BY_PRIOR_DERIVATION	causal_strata	RETAINED_ALL_FIVE
P04	PINNED_ONLY_WHERE_DECLARED	temporal_phi_orientation	CONDITIONAL_EXPLICIT
P05	OPEN	observer_domain	PARTIALLY_SUPPLIED_KINEMATICALLY_ON_C08
P06	OPEN	event_pairing	PARTIALLY_DERIVED_EQUAL_PHI_ON_C08
P07	OPEN	physical_Dg	REMAINS_OPEN_UNIVERSALLY
P08	WORKING_REQUIRED_SYMMETRY	gate	RETAINED
P09	OPEN	physical_representative	REMAINS_OPEN
P10	OPEN	global_completion	REMAINS_OPEN
P11	OPEN	seal_type	REMAINS_OPEN
P12	WORKING_OWNER_INTERPRETATION	co_presence	NOT_PROMOTED_TO_PAIRING
P13	DERIVED_OR_OWNER_SCOPED	Reciprocity	CONSTRAINS_NOT_SELECTS
P14	DERIVED_SCALE_NEUTRALITY	h0_and_scale_gate	CONSTRAINS_NOT_SELECTS_PHYSICAL_RULER
P15	WORKING_OUTER_ADMISSIBILITY	bootstrap	NOT_EXECUTABLE_SELECTOR
P16	CONDITIONAL_STATIC_CONTROL	WRL	USED_AS_SCOPE_CONTROL_ONLY
P17	OPEN	action_source_carrier_mass	UNCHANGED
P18	EXCLUDED_AS_DERIVATION	external_mechanics	RESPECTED
P19	FREE_AND_EXPLORED	dphi_classes	ALL_FIVE_CLASSIFIED
P20	FREE_AND_EXPLORED	completions	ALL_TWELVE_CLASSIFIED
P21	OUT_OF_SCOPE	compute_boundary	NO_NUMERIC_SCALE_MATTER_TIME_LIVE_OR_GPU
P22	IMMUTABLE	provenance	RESPECTED
