claim_id	claim	status	scope
S01	complete_registered_structure_selects_one_universal_physical_Dg	OPEN_SELECTOR	zero_of_24_candidates_pass_all_gates
S02	timelike_nonzero_dphi_makes_phi_temporal	DERIVED_CONDITIONAL	connected_time_oriented_region
S03	equal_phi_pairs_events_on_future_timelike_histories	DERIVED_CONDITIONAL	histories_with_common_phi_range
S04	equal_phi_pairing_selects_a_preferred_observer	REFUTED_IN_CONSTRUCTION	all_future_timelike_histories_use_same_scalar_level_rule
S05	h0_equals_abs_s_times_g_is_CSN_invariant	DERIVED_EXACT	s_equals_g_inverse_dphi_dphi_nonzero
S06	q0_equals_h0_plus_dphi_tensor_dphi_is_Riemannian_on_phi_levels	DERIVED_CONDITIONAL	timelike_nonzero_dphi
S07	intrinsic_q0_slice_distance_is_nonnegative_symmetric_and_angularly_complete	DERIVED_CONDITIONAL	connected_phi_level_and_path_infimum
S08	q0_distance_is_the_unique_physical_ruler	NOT_DERIVED	unit_gradient_is_canonical_but_hf_and_physical_scale_selection_remain
S09	hf_equals_exp_2fphi_h0_scales_each_phi_slice_distance	DERIVED_COUNTERFAMILY	df_lambda_equals_exp_flambda_d0_lambda
S10	timelike_phi_distance_descends_globally	OPEN	no_complete_temporal_phi_finite_cell_branch_or_gluing
S11	static_WRL_is_closed_by_temporal_phi_distance	NO_SCOPE_MISMATCH	static_WRL_dphi_is_spacelike
S12	spacelike_dphi_level_sets_supply_observer_three_space	REFUTED_IN_CLASS	induced_signature_is_Lorentzian
S13	null_dphi_extension_of_q0_distance	BLOCKED_EXACTLY	h0_degenerate
S14	zero_dphi_extension_of_q0_distance	BLOCKED_EXACTLY	no_line_or_foliation
S15	type_changing_extension	OPEN_INTERFACE_SELECTOR	must_cross_null_or_zero
S16	absolute_Lorentzian_interval_is_physical_distance	REFUTED	noncoincident_null_pairs_have_zero
S17	phi_difference_or_projective_depth_is_complete_distance	REFUTED_OR_RETAINED_1D_CONDITIONAL	same_level_angular_points_collapse
S18	WRL_radial_proper_and_optical_lengths	RETAINED_CONDITIONAL	local_static_radial_controls_not_complete_Dg
S19	angular_fiber_or_dual_systole_length_is_observer_separation	TYPE_MISMATCH	fiber_character_geometry_not_spacetime_base distance
S20	Reciprocity_CSN_finite_cell_seal_co_presence_bootstrap_construct_Dg	CONSTRAIN_NOT_SELECT	no_domain_pairing_physical_ruler_or_global_branch
S21	global_diameter_Xmax_computed	NOT_EVALUATED	universal_Dg_gate_failed
S22	local_WRL_X_equals_global_Xmax	NOT_EVALUATED	open_join_unchanged
S23	complete_action_source_boundary_carrier_mass_density	OPEN_UNCHANGED	not_addressed
S24	audit_grade	VERIFIED_WITH_CAVEATS	independent_standard_library_reconstruction_no_fresh_external_context
