catch_id	test	expected	result
C01	missing_candidate	REJECT	PASS
C02	duplicate_candidate	REJECT	PASS
C03	universal_candidate_promoted	REJECT	PASS
C04	C08_observer_domain_globalized	REJECT	PASS
C05	C08_causal_scope_globalized	REJECT	PASS
C06	C08_global_descent_promoted	REJECT	PASS
C07	null_degeneracy_erased	REJECT	PASS
C08	zero_extension_invented	REJECT	PASS
C09	interface_rule_invented	REJECT	PASS
C10	absolute_interval_promoted	REJECT	PASS
C11	phi_difference_promoted	REJECT	PASS
C12	projective_depth_globalized	REJECT	PASS
C13	WRL_radial_globalized	REJECT	PASS
C14	co_presence_promoted	REJECT	PASS
C15	bootstrap_promoted	REJECT	PASS
C16	completion_promoted	REJECT	PASS
C17	diameter_computed_before_gate	REJECT	PASS
C18	GPU_scope_violation	REJECT	PASS
C19	frozen_mutation_claim	REJECT	PASS
