completion	C08_timelike_dphi_constraint	descent_ruling
FC01_BOUNDARY_BOUNDARY	allows_nonnull_submersion_but_does_not_force_profile	OPEN
FC02_ONE_CAP_BOUNDARY	static_orbit_depth_cap_forces_criticality_time_live_open	OPEN
FC03_TWO_CAP_P0	compact_static_real_phi_forces_zero_dphi_time_live_open	OPEN
FC04_TWO_CAP_P1	compact_static_real_phi_forces_zero_dphi_time_live_open	OPEN
FC05_TWO_CAP_P_GT1	compact_static_real_phi_forces_zero_dphi_time_live_open	OPEN
FC06_NONPRIMITIVE_CAP	singular_stratum_blocks_global_metric_construction	BLOCKED_REGULAR_COMPLEMENT_ONLY
FC07_PERIODIC_TORUS_BUNDLE	periodic_static_real_phi_forces_critical_point_time_live_open	OPEN
FC08_MIRROR_DOUBLE	parity_or_sign_twist_requires_unsupplied_seam_lift	OPEN
FC09_NONORIENTABLE_GLUE	line_may_descend_but_time_orientation_and_slice_glue_unproved	OPEN
FC10_STRATIFIED_PROJECTOR	other_projector_strata_do_not_select_dphi_strata	OPEN
FC11_NONINTEGRABLE_DISTRIBUTION	kernel_dphi_is_integrable_but_no_complete_metric_or observer quotient	OPEN
FC12_RECIPROCAL_TORIC_DIAGONAL	open_nonnull_control_without_complete_endpoints	CONDITIONAL_LOCAL_ONLY
