candidate_id	candidate	final_ruling	load_bearing_reason	universal_pass
C01	pointwise_Lorentzian_interval	REJECT_AS_OBSERVER_DISTANCE	pointwise_indefinite_bilinear_form_is_not_a_two_point_nonnegative_distance	NO
C02	Synge_or_geodesic_world_function	CONDITIONAL_EVENT_INTERVAL_NOT_OBSERVER_DISTANCE	world_function_is_local_event_geometry_not_a_nonnegative_paired_worldline_distance	NO
C03	absolute_world_function_magnitude	REJECT_AS_PHYSICAL_DISTANCE	absolute_value_still_assigns_zero_to_noncoincident_null_events	NO
C04	Lorentzian_time_separation	REJECT_AS_SYMMETRIC_OBSERVER_SEPARATION	causal_time_separation_is_directed_and_not_spatial_distance	NO
C05	spacelike_curve_proper_length	CONDITIONAL_PATH_LENGTH_NOT_SELECTED_DISTANCE	same_endpoints_admit_different_spacelike_curve_lengths	NO
C06	intrinsic_Riemannian_slice_distance	CONDITIONAL_IF_SPATIAL_SLICE_AND_REPRESENTATIVE_SUPPLIED	intrinsic_distance_is_exact_after_unselected_slice_and_scale_choices	NO
C07	supplied_observer_rest_metric	CONDITIONAL_IF_OBSERVER_CONGRUENCE_AND_INTEGRABLE_QUOTIENT_SUPPLIED	metric_does_not_select_u_and_local_rest_spaces_need_not_form_global_slices	NO
C08	timelike_dphi_foliation_distance	DERIVED_CONDITIONAL_TEMPORAL_PHI_SEPARATION_FAMILY__NOT_UNIVERSAL_PHYSICAL_DG	strongest_native_candidate_preserves_observer_equivalence_but_needs_global_temporal_phi_branch_and_scale	NO
C09	spacelike_dphi_gradient_depth	CONDITIONAL_ONE_DIMENSIONAL_DEPTH_ONLY	spacelike_gradient_supplies_a_line_not_complete_observer_pair_distance	NO
C10	null_dphi_screen_or_quotient_distance	REJECT_ON_NULL_STRATUM	normalized_projector_and_positive_screen_metric_degenerate	NO
C11	zero_dphi_metric_distance	NO_INTRINSIC_REDUCTION	zero_dphi_selects_no_line_slice_or_pairing	NO
C12	absolute_phi_difference	REJECT_AS_COMPLETE_DISTANCE	distinct_angular_or_same_level_points_collapse_to_zero	NO
C13	reciprocal_projective_depth	RETAIN_UNIQUE_CONDITIONAL_1D_PROJECTIVE_COORDINATE	not_general_metric_distance	NO
C14	WRL_coordinate_distance	REJECT_AS_INVARIANT_COMPLETE_DISTANCE	coordinate_r_is_local_WRL_chart_label	NO
C15	WRL_proper_radial_distance	RETAIN_CONDITIONAL_WRL_RADIAL_PROPER_LENGTH	exact_local_radial_length_not_complete_observer_pair_distance	NO
C16	WRL_optical_distance	RETAIN_CONDITIONAL_OPTICAL_COMPARISON	optical_distance_requires_stationary_threading_and_is_not_native_physical_separation	NO
C17	complete_coframe_path_length	CONDITIONAL_COFRAME_PATH_FUNCTIONAL	complete_coframe_supplies_integrands_not_a_selected_path_or_spatial_polarization	NO
C18	finite_cell_intrinsic_diameter	OPEN_COMPLETE_CELL_DISTANCE	no_selected_complete_on_shell_cell_spatial_metric_or topology	NO
C19	seal_normal_distance	OPEN_SEAL_DISTANCE	seal_is_not_selected_as_physical_boundary_or observer-pair locus	NO
C20	angular_fiber_geodesic_distance	TYPE_MISMATCH_FIBER_NOT_OBSERVER_BASE	angular_fiber_distance_does_not_measure_separation_of spacetime observers	NO
C21	torus_dual_systole_length	TYPE_MISMATCH_CHARACTER_LENGTH_NOT_OBSERVER_DISTANCE	dual_systole_is_intrinsic_fiber_character_data	NO
C22	curvature_eigencongruence_slice_distance	CONDITIONAL_BRANCH_SELECTOR_NOT_UNIVERSAL	registered_curvature_ensemble_has_full_irreducible_or flat ambiguous cases	NO
C23	causal_accessibility_or_null_cone	RELATION_NOT_DISTANCE	null_cone_and_causal_accessibility_supply order_or_incidence_not magnitude	NO
C24	principle_only_composition	CONSTRAINS_NOT_SELECTS	registered_principles_supply_symmetry_scale_neutrality_completion_and_admissibility_not_Dg	NO
