transform_id	kind	primary_status	configurations
C00_IDENTITY	COORDINATE	TENSOR_COVARIANT_COMPONENT_CHANGE	6144
C01_BLOCK_GENERAL	COORDINATE	TENSOR_COVARIANT_COMPONENT_CHANGE	6144
C02_BLOCK_GENERAL_INVERSE	COORDINATE	TENSOR_COVARIANT_COMPONENT_CHANGE	6144
C03_CROSS_GENERAL	COORDINATE	SUPPLIED_SPLIT_RESEATED_DEFINED	6144
C04_CROSS_GENERAL_INVERSE	COORDINATE	SUPPLIED_SPLIT_RESEATED_DEFINED	6144
C05_SWAP_DEPTH_SCREEN	COORDINATE	SUPPLIED_SPLIT_RESEATED_DEFINED	6144
C06_SWAP_TIME_SCREEN	COORDINATE	SUPPLIED_SPLIT_UNDEFINED_SIGNATURE	6144
F01_CONSTANT_BASE_BOOST	COFRAME	METRIC_INVARIANT_COFRAME_GAUGE	6144
F02_LOCAL_BASE_BOOST	COFRAME	METRIC_INVARIANT_COFRAME_GAUGE	6144
F03_CONSTANT_CROSS_BOOST	COFRAME	METRIC_INVARIANT_COFRAME_GAUGE	6144
F04_LOCAL_CROSS_BOOST	COFRAME	METRIC_INVARIANT_COFRAME_GAUGE	6144
F05_LOCAL_SCREEN_ROTATION	COFRAME	METRIC_INVARIANT_COFRAME_GAUGE	6144
