transform_id	kind	distribution_relation	inverse_pair	determinant	matrix_json	local	generator	parameter	parameter_first_json	parameter_second_json	lorentz_residual
C00_IDENTITY	COORDINATE	ORIGINAL	C00_IDENTITY	1.0	[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]	NO			[]	[]	
C01_BLOCK_GENERAL	COORDINATE	BLOCK_PRESERVING	C02_BLOCK_GENERAL_INVERSE	1.01675	[[1.0,0.2,0.0,0.0],[0.1,1.0,0.0,0.0],[0.0,0.0,1.0,-0.15],[0.0,0.0,0.25,1.0]]	NO			[]	[]	
C02_BLOCK_GENERAL_INVERSE	COORDINATE	BLOCK_PRESERVING	C01_BLOCK_GENERAL	0.9835259404966805	[[1.0204081632653061,-0.20408163265306123,0.0,0.0],[-0.10204081632653061,1.0204081632653061,0.0,0.0],[0.0,0.0,0.963855421686747,0.14457831325301201],[0.0,0.0,-0.24096385542168672,0.9638554216867469]]	NO			[]	[]	
C03_CROSS_GENERAL	COORDINATE	CROSS_RESEATED	C04_CROSS_GENERAL_INVERSE	1.00766392	[[1.0,0.0,0.12,0.0],[0.0,1.0,0.0,-0.18],[0.07,0.0,1.0,0.0],[0.0,0.09,0.0,1.0]]	NO			[]	[]	
C04_CROSS_GENERAL_INVERSE	COORDINATE	CROSS_RESEATED	C03_CROSS_GENERAL	0.9923943689479325	[[1.008471157724889,0.0,-0.12101653892698667,0.0],[0.0,0.98405825624877,0.0,0.17713048612477858],[-0.07059298104074224,0.0,1.008471157724889,0.0],[0.0,-0.08856524306238929,0.0,0.98405825624877]]	NO			[]	[]	
C05_SWAP_DEPTH_SCREEN	COORDINATE	PERMUTED_RESEATED	C05_SWAP_DEPTH_SCREEN	-1.0	[[1.0,0.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,0.0,1.0]]	NO			[]	[]	
C06_SWAP_TIME_SCREEN	COORDINATE	PERMUTED_RESEATED	C06_SWAP_TIME_SCREEN	-1.0	[[0.0,0.0,1.0,0.0],[0.0,1.0,0.0,0.0],[1.0,0.0,0.0,0.0],[0.0,0.0,0.0,1.0]]	NO			[]	[]	
F01_CONSTANT_BASE_BOOST	COFRAME	COORDINATE_SPLIT_UNCHANGED	POINTWISE_INVERSE	1.0	[[1.0484360351782336,0.3149890789539443,0.0,0.0],[0.3149890789539443,1.0484360351782336,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]	NO	K01	0.31	[0.0,0.0,0.0,0.0]	[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0]]	2.6271142072989207e-17
F02_LOCAL_BASE_BOOST	COFRAME	COORDINATE_SPLIT_UNCHANGED	POINTWISE_INVERSE	1.0	[[1.0484360351782336,0.3149890789539443,0.0,0.0],[0.3149890789539443,1.0484360351782336,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]	YES	K01	0.31	[0.07,-0.04,0.03,0.05]	[[0.02,0.01,0.0,-0.005],[0.01,-0.015,0.004,0.0],[0.0,0.004,0.01,0.006],[-0.005,0.0,0.006,-0.012]]	2.6271142072989207e-17
F03_CONSTANT_CROSS_BOOST	COFRAME	COORDINATE_SPLIT_UNCHANGED	POINTWISE_INVERSE	1.0000000000000002	[[1.0366719725350504,0.0,0.27329247819819713,0.0],[0.0,1.0,0.0,0.0],[0.27329247819819713,0.0,1.0366719725350504,0.0],[0.0,0.0,0.0,1.0]]	NO	K02	0.27	[0.0,0.0,0.0,0.0]	[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0]]	2.220446049250313e-16
F04_LOCAL_CROSS_BOOST	COFRAME	COORDINATE_SPLIT_UNCHANGED	POINTWISE_INVERSE	0.9999999999999999	[[1.0242977642749296,0.0,-0.22177896631245117,0.0],[0.0,1.0,0.0,0.0],[-0.22177896631245117,0.0,1.0242977642749296,0.0],[0.0,0.0,0.0,1.0]]	YES	K02	-0.22	[-0.03,0.06,0.02,-0.05]	[[0.011,-0.004,0.003,0.0],[-0.004,0.018,0.0,-0.006],[0.003,0.0,-0.009,0.005],[0.0,-0.006,0.005,0.014]]	2.220446049250313e-16
F05_LOCAL_SCREEN_ROTATION	COFRAME	COORDINATE_SPLIT_UNCHANGED	POINTWISE_INVERSE	1.0	[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,0.9323273456060345,-0.361615431964962],[0.0,0.0,0.361615431964962,0.9323273456060345]]	YES	K23	0.37	[0.04,0.02,-0.06,0.03]	[[-0.008,0.003,0.0,0.004],[0.003,0.012,-0.005,0.0],[0.0,-0.005,0.016,0.002],[0.004,0.0,0.002,-0.011]]	2.226534750406793e-17
