catch_id	result
K01_MISSING_TRANSFORMATION	REJECTED_AS_REQUIRED
K02_DUPLICATE_TRANSFORMATION	REJECTED_AS_REQUIRED
K03_SINGULAR_CHART	REJECTED_AS_REQUIRED
K04_NON_LORENTZ_COFRAME	REJECTED_AS_REQUIRED
K05_WRONG_INVERSE_PAIR	REJECTED_AS_REQUIRED
K06_OMITTED_LOCAL_DERIVATIVE	REJECTED_AS_REQUIRED
K07_TENSOR_INDEX_PERMUTATION	REJECTED_AS_REQUIRED
K08_INVALID_SPLIT_ACCEPTED	REJECTED_AS_REQUIRED
K09_UNDEFINED_SPLIT_IMPUTED	REJECTED_AS_REQUIRED
K10_MUTATED_PARENT_INPUT	REJECTED_AS_REQUIRED
K11_ALTERED_ENSEMBLE_MASK	REJECTED_AS_REQUIRED
K12_MOBIUS_CUBE_OMISSION	REJECTED_AS_REQUIRED
K13_THRESHOLD_MARGIN_OMISSION	REJECTED_AS_REQUIRED
K14_CLAIM_ESCALATION	REJECTED_AS_REQUIRED
