transform_id	path	rows	bytes	sha256
C00_IDENTITY	MOBIUS_ORBITS_C00_IDENTITY.tsv	5760	4103323	f22e3dce0c62aed1f182984f5e9f750c1219fbf131cb1dbf2a26e29c97ba37ed
C01_BLOCK_GENERAL	MOBIUS_ORBITS_C01_BLOCK_GENERAL.tsv	5760	4354733	7464d48303659c92d0844eeebdd762955b160de7f303fd86369dfd16bdca9cd0
C02_BLOCK_GENERAL_INVERSE	MOBIUS_ORBITS_C02_BLOCK_GENERAL_INVERSE.tsv	5760	4401531	49661a66f04978e319a5cc147e3159cc6cadb1c033188f83b0f74620b37fac87
C03_CROSS_GENERAL	MOBIUS_ORBITS_C03_CROSS_GENERAL.tsv	5760	4525046	01be00d72e2efc8943cc10d3ee726af64e193c370ee8d9c3eed6be95ffefdab8
C04_CROSS_GENERAL_INVERSE	MOBIUS_ORBITS_C04_CROSS_GENERAL_INVERSE.tsv	5760	4567113	85f072167163ebbf743aaccaada00de233ea35094592343d62a861d0f694be83
C05_SWAP_DEPTH_SCREEN	MOBIUS_ORBITS_C05_SWAP_DEPTH_SCREEN.tsv	5760	4256146	e05b6817c440be135066e8a40a2d746ce1b5cdc6d7743521517e7cf012b19669
C06_SWAP_TIME_SCREEN	MOBIUS_ORBITS_C06_SWAP_TIME_SCREEN.tsv	5760	3646303	730bbe75bda29e10b7c8c4da0a0f9b07a816308b92097a536d8945434251c89b
F01_CONSTANT_BASE_BOOST	MOBIUS_ORBITS_F01_CONSTANT_BASE_BOOST.tsv	5760	4244354	124e807a5764a13f6e1f42810a646d3afd23376ba46ec35a86854bad4a040d96
F02_LOCAL_BASE_BOOST	MOBIUS_ORBITS_F02_LOCAL_BASE_BOOST.tsv	5760	4227074	c22646de30f321e3f4ad4962555b9e3ee5f3f68969e5dd0c29bc65c19bab8aab
F03_CONSTANT_CROSS_BOOST	MOBIUS_ORBITS_F03_CONSTANT_CROSS_BOOST.tsv	5760	4250306	cf0e319b2151b4bebd54644a6a254d837661537b953a975a8d37d3d1032541c6
F04_LOCAL_CROSS_BOOST	MOBIUS_ORBITS_F04_LOCAL_CROSS_BOOST.tsv	5760	4233010	190cde919692992104b68a34368320b11f6a144b8ddc521b3afd9837d8e7bc5b
F05_LOCAL_SCREEN_ROTATION	MOBIUS_ORBITS_F05_LOCAL_SCREEN_ROTATION.tsv	5760	4256153	503bac8ea313d31c76bb448ceccda5dbbe172fa8e33bd9ff25b7961829f7e710
