transform_id	distribution_relation	split_status	configurations	retained
C00_IDENTITY	ORIGINAL	DEFINED	6144	YES
C01_BLOCK_GENERAL	BLOCK_PRESERVING	DEFINED	6144	YES
C02_BLOCK_GENERAL_INVERSE	BLOCK_PRESERVING	DEFINED	6144	YES
C03_CROSS_GENERAL	CROSS_RESEATED	DEFINED	6144	YES
C04_CROSS_GENERAL_INVERSE	CROSS_RESEATED	DEFINED	6144	YES
C05_SWAP_DEPTH_SCREEN	PERMUTED_RESEATED	DEFINED	6144	YES
C06_SWAP_TIME_SCREEN	PERMUTED_RESEATED	INVALID_SIGNATURE	6144	YES
F01_CONSTANT_BASE_BOOST	COORDINATE_SPLIT_UNCHANGED	DEFINED	6144	YES
F02_LOCAL_BASE_BOOST	COORDINATE_SPLIT_UNCHANGED	DEFINED	6144	YES
F03_CONSTANT_CROSS_BOOST	COORDINATE_SPLIT_UNCHANGED	DEFINED	6144	YES
F04_LOCAL_CROSS_BOOST	COORDINATE_SPLIT_UNCHANGED	DEFINED	6144	YES
F05_LOCAL_SCREEN_ROTATION	COORDINATE_SPLIT_UNCHANGED	DEFINED	6144	YES
