domain	coverage	result_or_limit
tracked text candidate universe	complete deterministic base-tree token census	3924 records frozen from base ab099c9
load-bearing current sources	complete bounded closure	41 individually adjudicated sources
current corrected continuum functional	exact source and scaling replay	covered
continuum coefficient values and dimensions	exact dimensional audit	covered; values not native-derived
finite box boundary and grid	source and provenance audit	covered as numerical/domain controls
static stability and basin evidence	current result provenance	covered without replaying dirty raw fields
fixed-Q inertia and frequency	code plus exact scale factorization	covered as supplied code normalization
phase-G mass and virial chain	code result identity and premise audit	covered as conditional readout
Hopf topology	current topology audit	covered as dimensionless
Xmax reciprocity	conditional compatibility and counterfactual coefficient tie	covered without observer-frame promotion
complete metric-plus-matter solution space	absent	not covered
native carrier source and complete matter action	open	not derived
physical time evolution	open	not run
external-model adversarial review	not authorized	maximum grade VERIFIED-WITH-CAVEATS
GPU computation	prohibited	not performed
