path	role
LIVE.md	current authority and next gate
CURRENT_SCIENTIFIC_PREMISES.tsv	exact premise ownership
founding.md	working foundational clarifications
startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	owner adoption and bootstrap compatibility
udt_g294_nonsignalling_copresence_network_architecture_2026-08-29/AUDIT_REPORT.md	constraint/update and co-presence boundary
udt_g295_causal_history_constraint_propagation_classification_2026-08-29/AUDIT_REPORT.md	whole-history condition type
udt_g300_metric_celestial_query_bundle_descent_2026-08-29/AUDIT_REPORT.md	lawful query-family nonselection
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/AUDIT_REPORT.md	positive round completion boundary
udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/AUDIT_REPORT.md	Hopf family nonselection
udt_g307_directed_relation_hopf_member_reconstruction_2026-08-30/AUDIT_REPORT.md	supplied germ versus population
udt_g308_global_chirality_coherence_parity_classification_2026-08-31/AUDIT_REPORT.md	chirality and metric-only selection boundary
udt_g309_strengthened_chain_history_selection_audit_2026-08-31/AUDIT_REPORT.md	round-history counterselection
udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	Universal Reciprocity bounded consequence
udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/AUDIT_REPORT.md	response-shape boundary
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	active premise boundary
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	controlling solution-space landing
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	witness and predicate type derivation
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/BOOTSTRAP_LEDGER.tsv	current missing-object ledger

