object	status	scope_or_guard
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	not derived or canon
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE	not a selected GR solution
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded local finite-jet response
Ric_ab=Lambda g_ab	ACTIVE_BOUNDED_CONDITIONAL_EQUATION	registered local metric-only vacuum arena
G316 conformal method	CONDITIONAL_IMPORTED_MATHEMATICAL_METHOD	presentation of active constraints
G318 torus flat diagonal one-coordinate frame	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	not native topology or full solution space
constant-ratio separability	CHOSE_AND_CLASSIFIED_BOUNDED_ANSATZ	not a UDT law
G317 unchanged k=1 form	OBSTRUCTED_IN_REGISTERED_NONCONSTANT_PSI_SIGN_DEFINITE_BRANCH	not a regression of constant-psi G317
power-law vector interlock	DERIVED_WITHIN_REGISTERED_ANSATZ	tau=C psi^n and k=n/(n+6)
general scalar ODE	DERIVED_WITHIN_REGISTERED_ANSATZ	full nonlinear equation
n<=-3 Lambda>=0 periodic classes	OBSTRUCTED_WITHIN_REGISTERED_POWER_BRANCH	n=-6 excluded; omitted sectors open
n=-2 strict-center class	CONDITIONAL_EXACT_PERIODIC_EXISTENCE	standard phase portrait and exact period covariance
registered n=-2 periodic family	NONZERO_INITIAL_WEYL	true tidal geometry in the bounded family
psi orbit C d n Lambda	FREE_OR_INTERLOCKED_NOT_SELECTED	no calibrated values
physical history	OPEN_NOT_SELECTED	lawful initial data are not actualization
metric and reciprocal kernel	UNCHANGED	no kernel or metric modification
angular and observational interfaces	UNCHANGED	no loud-quiet-loud or fit claim
source matter mass scale physical X_max	OPEN_OMITTED	no import or selection
