item	status	role	maximum_consequence
complete Lorentzian metric	pinned-by-THEORY__G296_G312	primitive local geometry	data are metric hypersurface germs
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	bounded response postulate	not derived and not canon
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response constitution	not a selected GR solution
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	local finite-jet response	hidden remote-history local response excluded
Ric_ab=Lambda g_ab and dLambda=0	pinned-by-THEORY__BOUNDED_G312_G313	active conditional vacuum equation	one connected scalar sector and multibranch solutions
G315 constraints	DERIVED_CONDITIONAL	direct physical test	constrain supplied data without selecting them
G316 conformal construction	EXTERNALLY_ACCEPTED_CONDITIONAL_MATHEMATICAL_METHOD	construction chart	no new UDT physics or global theorem
G317 constant-psi family	EXTERNALLY_ACCEPTED_BOUNDED_CONTROL	regression and boundary control	not an input profile or full non-CMC theorem
flat marked three-torus	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	exact compact test domain	not preferred topology or global universe
dimensionless 2 pi coordinate period	CHOSE_MATHEMATICAL_NORMALIZATION	periodic bookkeeping	not a clock ruler distance or physical scale
positive smooth periodic nonconstant psi	free-and-explored	conformal geometry field	no preferred profile
sign-definite tau	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	power-law integration branch	zeros and sign-changing branches remain open
one-coordinate dependence	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	exact ODE reduction	not a full spatial classification
constant diagonal TT seed	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	retains mean and transverse channels	not a native matter or anisotropy law
constant mixed-eigenvalue ratio	free-and-explored within chosen separability class	classifies exponent branches	not a physical ratio selection
longitudinal W=w(x) partial_x	SOLVED_IF_SOLVABLE	vector-constraint unknown	nonunique modulo translation kernel
tau amplitude C and TT difference d	free-and-explored	data parameters	not calibrated or selected
Lambda	SOLVED_OR_CLASSIFIED_WITHIN_FAMILY__OPEN_GLOBALLY	connected sector value	family sign is not a global sign theorem
standard autonomous-ODE phase portrait	CONDITIONAL_IMPORTED_MATHEMATICAL_METHOD	positive periodic existence proof	method only; no imported physics
coordinate/parameter rescaling	CONDITIONAL_MATHEMATICAL_METHOD	aligns a natural period with marked 2 pi	no physical scale attachment
lapse shift evolution gauge	OMITTED_OPEN	not constraint data	no development-gauge selection
nonflat nondiagonal multidimensional zero-crossing boundary asymptotic sectors	OMITTED_OPEN	outside bounded family	no full non-CMC theorem
source matter mass action observation fit scale physical X_max	OMITTED_OPEN	forbidden inputs	no selection or calibration
protected local packages	OMITTED_PROTECTED	not inspected	no dependency
