id	role	status_and_scope	controlling_source	candidate_use_and_boundary
G351	content requirement	OWNER_ADOPTED_PROVISIONAL premise; EXTERNALLY_ACCEPTED_CONDITIONAL measure mathematics	udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/EXACT_DERIVATION.md sections2,3,8; current AUDIT_REPORT	finite nonnegative countably additive supplied mu; source-free preservation; no selection of mu/support/population
G352	readout and product target	OWNER_ADOPTED_PROVISIONAL readout; CHOSEN continuous phase-independent product; EXTERNALLY_ACCEPTED_CONDITIONAL result	udt_g352_clock_rate_carried_measure_readout_2026-09-05/EXACT_DERIVATION.md sections1,2,4,7; current AUDIT_REPORT	Gamma=(omega/Delta)s/J; mathematical eligibility not physical identification; phase/atomic and measure units remain distinct
G350	transfer/source boundary	EXTERNALLY_ACCEPTED_CONDITIONAL bounded character theorem	udt_g350_frequency_area_carried_content_ownership_2026-09-05/EXACT_DERIVATION.md sections6,7,9,12	current G351/G352 adoption fixes only their stated weights, not source normalization; historical unadopted-conservation label superseded
G313	metric-family dependency	EXTERNALLY_ACCEPTED bounded arena on inherited owner-provisional premises	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md sections1,5,6,7	constant-A plane-wave supplied mathematical branch, not selected history/population
G312	possible bridge examined	OWNER_ADOPTED_PROVISIONAL quiet-GR overlap and Local Metric Sufficiency	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md; G312 current registry/audit	vacuum response determined by completed finite metric jet; no supplied equation identifying carried label measure; no coupled-matter countermodel claim
G310	possible bridge examined	OWNER_ADOPTED_PROVISIONAL Universal Reciprocity/DDR	startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	bounded response constraints do not populate algebraically admitted relations
W4_G261	possible bridge examined	WORKING/POSIT common metric geometry with bounded reviewed ownership	founding.md W4; udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/AUDIT_REPORT.md	metric coupling is not population selection; older dynamics gap not used to deny active G312 vacuum response
W5_W6	possible bridges examined	WORKING_FOUNDATIONAL_CLARIFICATIONS	founding.md W5/W6; exact current registry rows	normalized projective position and nonsignalling membership do not supply amount/scale/label population
c19_candidate	conditional mathematical dependency	VERIFIED-WITH-CAVEATS; UNPROMOTED; chosen recipe not physically adopted	udt_g313_curvature_phase_current_candidate_2026-09-06/CANDIDATE_ARGUMENT.md and reviewed verdict at c19b5fb1	constant real A!=0; beta/current fixed by chosen recipe; local finite query patch/product; area units; all physical limits inherited
query_weights	countercompletions	FREE-AND-EXPLORED supplied nonnegative smooth weights	CANDIDATE_ARGUMENT.md section3; WITNESS_INPUTS.json	mathematical completions of reduced query only; not physical matter-metric solutions
query_scale_L	finite patch control	FREE-AND-EXPLORED supplied query length	WITNESS_INPUTS.json; CANDIDATE_ARGUMENT.md section3	keeps dimensionless label weights and J=L^2 explicit; not cutoff, boundary law or selected scale
checks	implementation evidence	exact symbolic/rational regression, not source-ownership proof	check_query_completions.py; AUTHOR_RUN.json	nonzero witnesses, zero division-free control, conservation/product/observer/gauge checks; finite examples not full-theory completeness
