# P4 Route A Slice 2b -- DIVERGENCE MAPS (TE3; first-class deliverable per R2). Contract: PREREGISTRATION.md. Every row stamped (F-E3): cell class + pairing + mass-branch + bookkeeping-branch + stratum (GENERIC+KMOD0 unless noted) + background. Quadratic class = the fiberwise-quadratic p-unmixed LE class (exact closed forms); nothing resolved, nothing promoted (F-E1/F-E5); observation only.
map	row	statement	stamps
MASS-BRANCH	calibration	M-DENS-proper == M-GEN identically (= 2 ell E0)	LE cells, all 5 pairings, quadratic class, both R2 branches, all backgrounds
MASS-BRANCH	wall-vs-gen	M-WALL = aF * M-GEN exactly; difference 2 ell E0 (aF - 1); agreement iff E0 = 0 or aF = 1 (background locus: P1-4D lam = 1/2, P1-triad lam = 0); sign flip: M-WALL <= 0 <= M-GEN on definite bump-side (aF < 0) members	LE cells, anchored pairings (P1-4D/P1-triad/P3-bulkP1), quadratic class, mass branches M-WALL vs M-GEN, all backgrounds
MASS-BRANCH	wall-P2-max	M-WALL identically 0 on the affine atlas while M-GEN = 2 ell E0 free: maximal divergence	LE cells, weight-free pairings (P2/P3-bulkP2), affine atlas, all backgrounds
MASS-BRANCH	coord-vs-gen	M-DENS-coord - M-GEN = E0 (V - 2 ell) exactly; agreement iff E0 = 0 or V = 2 ell (solution locus; P2 side agrees identically); on massive nonconstant integrated-tie survivors (I_p = 0) V > 2 ell strictly (Jensen, Category-A): coord strictly exceeds M-GEN there	LE cells, anchored pairings, quadratic class, mass branches M-DENS-coord vs M-GEN, all backgrounds
MASS-BRANCH	all-four	simultaneous agreement of all four readings on {E0 = 0} UNION ({aF = 1} AND {V = 2 ell}): a nonzero-mass consensus point EXISTS (exact witness w = (3/2)x^2 + 1/2 at aF = 1, ell = 1: all four = 6) but lies OFF the integrated moduli-row survivor set (Jensen strict) and off the pointwise one -- OE3-flavored observation, no promotion	LE cells, anchored pairings at aF = 1 background, quadratic class, all mass branches, both R2 branches (off-survivor, stamped), all backgrounds
MASS-BRANCH	NV-availability	availability itself diverges: M-WALL determined (= 0, zero-declared walls) where M-GEN proper/M-DENS stay undetermined; BOTH NV witness classes determined under the labeled M-GEN-eq sub-branch -- W2-fs via its anchored aF = 2lam generator (= 2 ell E0), W1 via its weight-free aF = 0 generator (= +-2 ell Ltil0, orientation-sign labeled; A2 even-handed extension, verifier-derived) [DECISION-RELEVANT-R1: whether M-GEN-eq is admitted to the R1 menu, and its normalization convention, is Charles's call]; W3 undetermined (no generated-tuple identity)	NV cells, all pairings, banked representatives, all backgrounds
MASS-BRANCH	sign-scope	every branch's mass is proportional to E0 (or E0 V): sign structure is DEFINITENESS-scoped (E0 < 0 noded members exist on the indefinite sub-class, witness E0 = -2)	LE cells, quadratic class, all mass branches, all backgrounds
BOOKKEEPING	P1-LE-strict	STRICT: INTEGRATED survivors {E0 = 0} UNION {I_p = 0 massive, nonempty every aF != 0 background}; POINTWISE survivors {E0 = 0} only -- the fork decides whether ANY massive self-consistent member exists	LE cells, anchored pairings, quadratic class, INTEGRATED vs POINTWISE, GENERIC+KMOD0, all backgrounds
BOOKKEEPING	pointwise-refined	POINTWISE survivor set {E0 = 0} = constants on the definite sub-class (banked) but contains NONCONSTANT affine-w members on the indefinite sub-class (witness w = x + 2, E0 = 0)	LE cells, anchored pairings, quadratic class, POINTWISE branch, all backgrounds
BOOKKEEPING	omega-agree	omega k10-row: both branches force k10 = 0 -- exact agreement	omega's banked LE cells, all pairings, both R2 branches, all backgrounds
BOOKKEEPING	P2-agree	lam-row identically absent (aF' = 0): both branches vacuous, agree (degenerate; reported)	LE cells, weight-free pairings + blindness loci, both R2 branches, all backgrounds
BOOKKEEPING	NV-agree	banked NV representatives: zero moduli slots, both branches vacuous, agree; general NV: inclusion (pointwise in integrated) holds, strictness member-dependent (typed)	NV cells, all pairings, both R2 branches, all backgrounds
TIE-FATE	integrated-robust	tie 2 E0 I_p = 0 present; zero locus mass-branch-ROBUST (all four masses vanish iff E0 = 0); nontrivial branch {I_p = 0, E0 != 0} massive under ALL four readings: the bootstrap-shaped tie couples MASS to the background seat under every labeled definition	LE cells, anchored pairings, quadratic class, INTEGRATED x each mass branch, all backgrounds; observation only (lens)
TIE-FATE	pointwise-absent	the pointwise analog 2 E0 p0(x) = 0 forces E0 = 0: every pointwise survivor is massless under all four readings -- the tie's massive branch exists ONLY on the INTEGRATED side (the banked tie is INTEGRATED-branch, F-E4, now structural)	LE cells, anchored pairings, quadratic class, POINTWISE x each mass branch, all backgrounds; observation only (lens)
TIE-FATE	P2-absent	no tie and no analog on either branch (aF' = 0); the P1 tie degenerates to this at the blindness loci (lam = 0 / lam = -1/2) -- pairing-relativity of the tie is FULL-CELL general (arbitrary lam-independent member)	LE cells, weight-free pairings + blindness loci, both R2 branches, all backgrounds
