# P4 Route A Slice 2b -- FULL-CELL ATLAS LEDGER (TE5 composite map). Contract: PREREGISTRATION.md (R1 labeled mass branches, R2 both bookkeeping branches; bootstrap-lens frame governs). SCOPE STAMP (F-E3, travels with every row): jet <= 2, registered stationary presentation, BASE arena (constant moduli; the POINTWISE column is Charles's R2 branch on that arena, labeled -- BR-M's field fork stays typed NOT-EXHAUSTED), enumerated pairing branches, READY bin only (RES-CNEQ0 CENSUS-REQUIRED; 4th-order EXTENSION-REQUIRED; carriers G09/F-D7 out; time-live out). FULL-CELL structure = the TE1 theorems (energy first integral + determinedness dichotomy, arbitrary member) + the exact closed-form atlas on the fiberwise-quadratic p-unmixed class + stated obstructions beyond it (honest boundary). Mass columns are LABELED BRANCHES -- M-GEN / M-WALL / M-DENS-coord / M-DENS-proper -- NO branch promoted (F-E1), none invented (F-E2); carrier closure rows rho+S=2rho4 / rho+p_par G09-gated OUT, kept separate. NO candidate crowned, NO elimination (F-D1/F-D2 never engaged), NO fork decided (F-E5). Outcome class OE1.
pairing_branch	stratum	G3_cell	full_cell_solution_structure	generality_obstruction	M_GEN	M_WALL	M_DENS_coord	M_DENS_proper	R2_INTEGRATED_survivors	R2_POINTWISE_survivors	tie_status	TE4_wall_completion	background_stamps
P1-4D (aF=2lam)	GENERIC	LOCALLY-EXACT	TE1 theorems (arbitrary member): energy E = sum u' dS/du' - S exactly conserved; solved-form iff det Hess_{u'}(Ltil) != 0 (pairing-independent) with Picard 6-dim local data manifold per nondegenerate member; degenerate stratum populated (Ltil = p1^2/2 witness). EXACT closed-form atlas on the fiberwise-quadratic p-unmixed class (g_p, G_fh): e^{aF p0} = w = (aF^2 E0/(2 g_p))x^2 + w1 x + w0, (f',h') = G_fh^{-1}c/w, E0 = (g_p w1^2/aF^2 + c^T G_fh^{-1} c)/(2 w0); disc = -(aF^2/g_p) c^T G^{-1} c: DEFINITE sub-class => E0 >= 0, nodeless (banked A1 well/bump emergence = its g = I instance, definiteness-scoped); INDEFINITE sub-class => E0 < 0 noded members and E0 = 0 nonconstant members exist (witnesses)	closed form NOT obtained for p-mixed quadratic members (weight anisotropy) or non-quadratic members (Liouville-class) -- TE1 theorems still cover them; stated obstruction, stamped	AVAILABLE (derived): M-GEN = 2 ell E for EVERY LE member (E the TE1 first integral); quadratic class: 2 ell E0; sign definiteness-scoped (E0 < 0 members on indefinite sub-class)	AVAILABLE (derived, TC3 by-parts): M-WALL = [pi_p] = 2 aF ell E0 = aF * M-GEN on the quadratic class (p-slot = only nonvacuous slot, derived there; p-slot labeled sub-choice beyond); NEGATIVE on definite bump-side (aF < 0) members; trace functional under canon parity (v_p slot parity-killed, stamped)	AVAILABLE (labeled sense): M-DENS-coord = E0 V; diverges from M-GEN by E0 (V - 2 ell) exactly (zero iff E0 = 0 or V = 2 ell); STRICTLY exceeds M-GEN on massive nonconstant integrated-tie survivors (Jensen, Category-A)	AVAILABLE (labeled sense, WR-L/proper lineage): M-DENS-proper == M-GEN IDENTICALLY (the calibration row)	QUADRATIC CLASS (A1 stamp): {E0 = 0} UNION {I_p = 0 massive locus, nonempty at every aF != 0 background (banked A2 + Category-A; in-package exact certificate ADOPTED_Ip_signchange_exact)}; BEYOND the quadratic class: row = a_F' int p0 W_F Ltil dx (nonconstant integrand -- no E0 factorization), survivors UNCHARACTERIZED (typed); omega rows: k10 = 0	QUADRATIC CLASS (A1 stamp): {E0 = 0} ONLY (exact: pointwise row 2 E0 p0(x) = 0 forces E0 = 0): constants on the definite sub-class; + nonconstant affine-w members on the indefinite sub-class; BEYOND the quadratic class: row = a_F' p0 W_F Ltil pointwise, survivors UNCHARACTERIZED (typed); omega rows: k10 = 0 (agree)	QUADRATIC CLASS (A1 stamp): INTEGRATED: tie = 2 E0 I_p = 0 present; zero locus mass-branch-ROBUST (every branch mass vanishes iff E0 = 0); nontrivial branch {I_p = 0, E0 != 0} massive under ALL four readings. POINTWISE: analog forces E0 = 0 -- massive branch ABSENT. BEYOND the quadratic class: integrated row = a_F' int p0 W_F Ltil dx (no E0 factorization), tie form and survivors UNCHARACTERIZED (typed). Bootstrap observation only (lens)	wall traces closed-form (w, w', atan f/h traces; canon-parity witness recomputed); J09 FILLED (node locus = real roots of w; definite class nodeless); J07/J11 NEEDS-TRANSITION-DATA; J08/L4 carried (components frak_c-free; periods NEED-COMPLETION-DATA); corners typed-only; P3 wall blocks: cut COUNT determined per parity-surviving slot, cut locus needs the free wall-density data (typed OPEN)	background (lam, c_E, ell, frak_c) free/explored; aF sign law A1 carried (well aF > 0 / bump aF < 0); blindness loci lam = 0 (P1-4D) / lam = -1/2 (P1-triad) => affine + tie absent; M-WALL/M-GEN agreement locus aF = 1 (lam = 1/2 / lam = 0)
P1-4D (aF=2lam)	GENERIC	NONVARIATIONAL	general member = arbitrary component tuple (source form): leading-symbol determinedness dichotomy (pairing-independent, banked T0) is the complete cell-general theorem; witnesses recomputed (W1 affine/determined; W2-fs quadratic-w; W3 degenerate); universality obstruction: no member-independent solution atlas	member-by-member atlas only (universality obstruction, stamped)	STILL-UNDETERMINED under M-GEN proper (Helmholtz defect obstructs a generator under the cell's own anchored pairing); DETERMINED under the labeled sub-branch M-GEN-eq (A2 even-handed extension, verifier-derived: the W1 tuple IS the weight-free aF = 0 generated tuple Euler(-Ltil0), banked identity; energy -Ltil0 conserved on the affine atlas): M = +-2 ell Ltil0, sign per tuple orientation (labeled); member stays NV under P1 (stamped) [DECISION-RELEVANT-R1]; W3: still-undetermined (no generated-tuple identity in banked structure)	DETERMINED = 0 (zero DECLARED wall blocks -- trivial, an artifact of the declaration, stamped; nonzero-wall NV members typed OPEN)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	no tie (zero moduli slots); W2-fs carries the quadratic-w atlas with NO lam-row	zero-declared walls: vacuous varied-fork wall eqs (banked); J09 per member; J07/J11/J08/corners as in LE cells; KMOD0 identity vacuous on field-sector census (cell-general)	background (lam, c_E, ell, frak_c) free/explored; aF sign law A1 carried (well aF > 0 / bump aF < 0); blindness loci lam = 0 (P1-4D) / lam = -1/2 (P1-triad) => affine + tie absent; M-WALL/M-GEN agreement locus aF = 1 (lam = 1/2 / lam = 0)
P1-4D (aF=2lam)	KMOD0	LOCALLY-EXACT	TE1 theorems (arbitrary member): energy E = sum u' dS/du' - S exactly conserved; solved-form iff det Hess_{u'}(Ltil) != 0 (pairing-independent) with Picard 6-dim local data manifold per nondegenerate member; degenerate stratum populated (Ltil = p1^2/2 witness). EXACT closed-form atlas on the fiberwise-quadratic p-unmixed class (g_p, G_fh): e^{aF p0} = w = (aF^2 E0/(2 g_p))x^2 + w1 x + w0, (f',h') = G_fh^{-1}c/w, E0 = (g_p w1^2/aF^2 + c^T G_fh^{-1} c)/(2 w0); disc = -(aF^2/g_p) c^T G^{-1} c: DEFINITE sub-class => E0 >= 0, nodeless (banked A1 well/bump emergence = its g = I instance, definiteness-scoped); INDEFINITE sub-class => E0 < 0 noded members and E0 = 0 nonconstant members exist (witnesses) ; KMOD0: k_mod = 0 pin, identity vacuous on the field-sector census (cell-general), L23 quotient carried	closed form NOT obtained for p-mixed quadratic members (weight anisotropy) or non-quadratic members (Liouville-class) -- TE1 theorems still cover them; stated obstruction, stamped	AVAILABLE (derived): M-GEN = 2 ell E for EVERY LE member (E the TE1 first integral); quadratic class: 2 ell E0; sign definiteness-scoped (E0 < 0 members on indefinite sub-class)	AVAILABLE (derived, TC3 by-parts): M-WALL = [pi_p] = 2 aF ell E0 = aF * M-GEN on the quadratic class (p-slot = only nonvacuous slot, derived there; p-slot labeled sub-choice beyond); NEGATIVE on definite bump-side (aF < 0) members; trace functional under canon parity (v_p slot parity-killed, stamped)	AVAILABLE (labeled sense): M-DENS-coord = E0 V; diverges from M-GEN by E0 (V - 2 ell) exactly (zero iff E0 = 0 or V = 2 ell); STRICTLY exceeds M-GEN on massive nonconstant integrated-tie survivors (Jensen, Category-A)	AVAILABLE (labeled sense, WR-L/proper lineage): M-DENS-proper == M-GEN IDENTICALLY (the calibration row)	QUADRATIC CLASS (A1 stamp): {E0 = 0} UNION {I_p = 0 massive locus, nonempty at every aF != 0 background (banked A2 + Category-A; in-package exact certificate ADOPTED_Ip_signchange_exact)}; BEYOND the quadratic class: row = a_F' int p0 W_F Ltil dx (nonconstant integrand -- no E0 factorization), survivors UNCHARACTERIZED (typed); omega rows: k10 = 0	QUADRATIC CLASS (A1 stamp): {E0 = 0} ONLY (exact: pointwise row 2 E0 p0(x) = 0 forces E0 = 0): constants on the definite sub-class; + nonconstant affine-w members on the indefinite sub-class; BEYOND the quadratic class: row = a_F' p0 W_F Ltil pointwise, survivors UNCHARACTERIZED (typed); omega rows: k10 = 0 (agree)	QUADRATIC CLASS (A1 stamp): INTEGRATED: tie = 2 E0 I_p = 0 present; zero locus mass-branch-ROBUST (every branch mass vanishes iff E0 = 0); nontrivial branch {I_p = 0, E0 != 0} massive under ALL four readings. POINTWISE: analog forces E0 = 0 -- massive branch ABSENT. BEYOND the quadratic class: integrated row = a_F' int p0 W_F Ltil dx (no E0 factorization), tie form and survivors UNCHARACTERIZED (typed). Bootstrap observation only (lens)	wall traces closed-form (w, w', atan f/h traces; canon-parity witness recomputed); J09 FILLED (node locus = real roots of w; definite class nodeless); J07/J11 NEEDS-TRANSITION-DATA; J08/L4 carried (components frak_c-free; periods NEED-COMPLETION-DATA); corners typed-only; P3 wall blocks: cut COUNT determined per parity-surviving slot, cut locus needs the free wall-density data (typed OPEN)	background (lam, c_E, ell, frak_c) free/explored; aF sign law A1 carried (well aF > 0 / bump aF < 0); blindness loci lam = 0 (P1-4D) / lam = -1/2 (P1-triad) => affine + tie absent; M-WALL/M-GEN agreement locus aF = 1 (lam = 1/2 / lam = 0)
P1-4D (aF=2lam)	KMOD0	NONVARIATIONAL	general member = arbitrary component tuple (source form): leading-symbol determinedness dichotomy (pairing-independent, banked T0) is the complete cell-general theorem; witnesses recomputed (W1 affine/determined; W2-fs quadratic-w; W3 degenerate); universality obstruction: no member-independent solution atlas ; KMOD0: k_mod = 0 pin, identity vacuous on the field-sector census (cell-general), L23 quotient carried	member-by-member atlas only (universality obstruction, stamped)	STILL-UNDETERMINED under M-GEN proper (Helmholtz defect obstructs a generator under the cell's own anchored pairing); DETERMINED under the labeled sub-branch M-GEN-eq (A2 even-handed extension, verifier-derived: the W1 tuple IS the weight-free aF = 0 generated tuple Euler(-Ltil0), banked identity; energy -Ltil0 conserved on the affine atlas): M = +-2 ell Ltil0, sign per tuple orientation (labeled); member stays NV under P1 (stamped) [DECISION-RELEVANT-R1]; W3: still-undetermined (no generated-tuple identity in banked structure)	DETERMINED = 0 (zero DECLARED wall blocks -- trivial, an artifact of the declaration, stamped; nonzero-wall NV members typed OPEN)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	no tie (zero moduli slots); W2-fs carries the quadratic-w atlas with NO lam-row	zero-declared walls: vacuous varied-fork wall eqs (banked); J09 per member; J07/J11/J08/corners as in LE cells; KMOD0 identity vacuous on field-sector census (cell-general)	background (lam, c_E, ell, frak_c) free/explored; aF sign law A1 carried (well aF > 0 / bump aF < 0); blindness loci lam = 0 (P1-4D) / lam = -1/2 (P1-triad) => affine + tie absent; M-WALL/M-GEN agreement locus aF = 1 (lam = 1/2 / lam = 0)
P1-triad (aF=1+2lam)	GENERIC	LOCALLY-EXACT	TE1 theorems (arbitrary member): energy E = sum u' dS/du' - S exactly conserved; solved-form iff det Hess_{u'}(Ltil) != 0 (pairing-independent) with Picard 6-dim local data manifold per nondegenerate member; degenerate stratum populated (Ltil = p1^2/2 witness). EXACT closed-form atlas on the fiberwise-quadratic p-unmixed class (g_p, G_fh): e^{aF p0} = w = (aF^2 E0/(2 g_p))x^2 + w1 x + w0, (f',h') = G_fh^{-1}c/w, E0 = (g_p w1^2/aF^2 + c^T G_fh^{-1} c)/(2 w0); disc = -(aF^2/g_p) c^T G^{-1} c: DEFINITE sub-class => E0 >= 0, nodeless (banked A1 well/bump emergence = its g = I instance, definiteness-scoped); INDEFINITE sub-class => E0 < 0 noded members and E0 = 0 nonconstant members exist (witnesses)	closed form NOT obtained for p-mixed quadratic members (weight anisotropy) or non-quadratic members (Liouville-class) -- TE1 theorems still cover them; stated obstruction, stamped	AVAILABLE (derived): M-GEN = 2 ell E for EVERY LE member (E the TE1 first integral); quadratic class: 2 ell E0; sign definiteness-scoped (E0 < 0 members on indefinite sub-class)	AVAILABLE (derived, TC3 by-parts): M-WALL = [pi_p] = 2 aF ell E0 = aF * M-GEN on the quadratic class (p-slot = only nonvacuous slot, derived there; p-slot labeled sub-choice beyond); NEGATIVE on definite bump-side (aF < 0) members; trace functional under canon parity (v_p slot parity-killed, stamped)	AVAILABLE (labeled sense): M-DENS-coord = E0 V; diverges from M-GEN by E0 (V - 2 ell) exactly (zero iff E0 = 0 or V = 2 ell); STRICTLY exceeds M-GEN on massive nonconstant integrated-tie survivors (Jensen, Category-A)	AVAILABLE (labeled sense, WR-L/proper lineage): M-DENS-proper == M-GEN IDENTICALLY (the calibration row)	QUADRATIC CLASS (A1 stamp): {E0 = 0} UNION {I_p = 0 massive locus, nonempty at every aF != 0 background (banked A2 + Category-A; in-package exact certificate ADOPTED_Ip_signchange_exact)}; BEYOND the quadratic class: row = a_F' int p0 W_F Ltil dx (nonconstant integrand -- no E0 factorization), survivors UNCHARACTERIZED (typed); omega rows: k10 = 0	QUADRATIC CLASS (A1 stamp): {E0 = 0} ONLY (exact: pointwise row 2 E0 p0(x) = 0 forces E0 = 0): constants on the definite sub-class; + nonconstant affine-w members on the indefinite sub-class; BEYOND the quadratic class: row = a_F' p0 W_F Ltil pointwise, survivors UNCHARACTERIZED (typed); omega rows: k10 = 0 (agree)	QUADRATIC CLASS (A1 stamp): INTEGRATED: tie = 2 E0 I_p = 0 present; zero locus mass-branch-ROBUST (every branch mass vanishes iff E0 = 0); nontrivial branch {I_p = 0, E0 != 0} massive under ALL four readings. POINTWISE: analog forces E0 = 0 -- massive branch ABSENT. BEYOND the quadratic class: integrated row = a_F' int p0 W_F Ltil dx (no E0 factorization), tie form and survivors UNCHARACTERIZED (typed). Bootstrap observation only (lens)	wall traces closed-form (w, w', atan f/h traces; canon-parity witness recomputed); J09 FILLED (node locus = real roots of w; definite class nodeless); J07/J11 NEEDS-TRANSITION-DATA; J08/L4 carried (components frak_c-free; periods NEED-COMPLETION-DATA); corners typed-only; P3 wall blocks: cut COUNT determined per parity-surviving slot, cut locus needs the free wall-density data (typed OPEN)	background (lam, c_E, ell, frak_c) free/explored; aF sign law A1 carried (well aF > 0 / bump aF < 0); blindness loci lam = 0 (P1-4D) / lam = -1/2 (P1-triad) => affine + tie absent; M-WALL/M-GEN agreement locus aF = 1 (lam = 1/2 / lam = 0)
P1-triad (aF=1+2lam)	GENERIC	NONVARIATIONAL	general member = arbitrary component tuple (source form): leading-symbol determinedness dichotomy (pairing-independent, banked T0) is the complete cell-general theorem; witnesses recomputed (W1 affine/determined; W2-fs quadratic-w; W3 degenerate); universality obstruction: no member-independent solution atlas	member-by-member atlas only (universality obstruction, stamped)	STILL-UNDETERMINED under M-GEN proper (Helmholtz defect obstructs a generator under the cell's own anchored pairing); DETERMINED under the labeled sub-branch M-GEN-eq (A2 even-handed extension, verifier-derived: the W1 tuple IS the weight-free aF = 0 generated tuple Euler(-Ltil0), banked identity; energy -Ltil0 conserved on the affine atlas): M = +-2 ell Ltil0, sign per tuple orientation (labeled); member stays NV under P1 (stamped) [DECISION-RELEVANT-R1]; W3: still-undetermined (no generated-tuple identity in banked structure)	DETERMINED = 0 (zero DECLARED wall blocks -- trivial, an artifact of the declaration, stamped; nonzero-wall NV members typed OPEN)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	no tie (zero moduli slots); W2-fs carries the quadratic-w atlas with NO lam-row	zero-declared walls: vacuous varied-fork wall eqs (banked); J09 per member; J07/J11/J08/corners as in LE cells; KMOD0 identity vacuous on field-sector census (cell-general)	background (lam, c_E, ell, frak_c) free/explored; aF sign law A1 carried (well aF > 0 / bump aF < 0); blindness loci lam = 0 (P1-4D) / lam = -1/2 (P1-triad) => affine + tie absent; M-WALL/M-GEN agreement locus aF = 1 (lam = 1/2 / lam = 0)
P1-triad (aF=1+2lam)	KMOD0	LOCALLY-EXACT	TE1 theorems (arbitrary member): energy E = sum u' dS/du' - S exactly conserved; solved-form iff det Hess_{u'}(Ltil) != 0 (pairing-independent) with Picard 6-dim local data manifold per nondegenerate member; degenerate stratum populated (Ltil = p1^2/2 witness). EXACT closed-form atlas on the fiberwise-quadratic p-unmixed class (g_p, G_fh): e^{aF p0} = w = (aF^2 E0/(2 g_p))x^2 + w1 x + w0, (f',h') = G_fh^{-1}c/w, E0 = (g_p w1^2/aF^2 + c^T G_fh^{-1} c)/(2 w0); disc = -(aF^2/g_p) c^T G^{-1} c: DEFINITE sub-class => E0 >= 0, nodeless (banked A1 well/bump emergence = its g = I instance, definiteness-scoped); INDEFINITE sub-class => E0 < 0 noded members and E0 = 0 nonconstant members exist (witnesses) ; KMOD0: k_mod = 0 pin, identity vacuous on the field-sector census (cell-general), L23 quotient carried	closed form NOT obtained for p-mixed quadratic members (weight anisotropy) or non-quadratic members (Liouville-class) -- TE1 theorems still cover them; stated obstruction, stamped	AVAILABLE (derived): M-GEN = 2 ell E for EVERY LE member (E the TE1 first integral); quadratic class: 2 ell E0; sign definiteness-scoped (E0 < 0 members on indefinite sub-class)	AVAILABLE (derived, TC3 by-parts): M-WALL = [pi_p] = 2 aF ell E0 = aF * M-GEN on the quadratic class (p-slot = only nonvacuous slot, derived there; p-slot labeled sub-choice beyond); NEGATIVE on definite bump-side (aF < 0) members; trace functional under canon parity (v_p slot parity-killed, stamped)	AVAILABLE (labeled sense): M-DENS-coord = E0 V; diverges from M-GEN by E0 (V - 2 ell) exactly (zero iff E0 = 0 or V = 2 ell); STRICTLY exceeds M-GEN on massive nonconstant integrated-tie survivors (Jensen, Category-A)	AVAILABLE (labeled sense, WR-L/proper lineage): M-DENS-proper == M-GEN IDENTICALLY (the calibration row)	QUADRATIC CLASS (A1 stamp): {E0 = 0} UNION {I_p = 0 massive locus, nonempty at every aF != 0 background (banked A2 + Category-A; in-package exact certificate ADOPTED_Ip_signchange_exact)}; BEYOND the quadratic class: row = a_F' int p0 W_F Ltil dx (nonconstant integrand -- no E0 factorization), survivors UNCHARACTERIZED (typed); omega rows: k10 = 0	QUADRATIC CLASS (A1 stamp): {E0 = 0} ONLY (exact: pointwise row 2 E0 p0(x) = 0 forces E0 = 0): constants on the definite sub-class; + nonconstant affine-w members on the indefinite sub-class; BEYOND the quadratic class: row = a_F' p0 W_F Ltil pointwise, survivors UNCHARACTERIZED (typed); omega rows: k10 = 0 (agree)	QUADRATIC CLASS (A1 stamp): INTEGRATED: tie = 2 E0 I_p = 0 present; zero locus mass-branch-ROBUST (every branch mass vanishes iff E0 = 0); nontrivial branch {I_p = 0, E0 != 0} massive under ALL four readings. POINTWISE: analog forces E0 = 0 -- massive branch ABSENT. BEYOND the quadratic class: integrated row = a_F' int p0 W_F Ltil dx (no E0 factorization), tie form and survivors UNCHARACTERIZED (typed). Bootstrap observation only (lens)	wall traces closed-form (w, w', atan f/h traces; canon-parity witness recomputed); J09 FILLED (node locus = real roots of w; definite class nodeless); J07/J11 NEEDS-TRANSITION-DATA; J08/L4 carried (components frak_c-free; periods NEED-COMPLETION-DATA); corners typed-only; P3 wall blocks: cut COUNT determined per parity-surviving slot, cut locus needs the free wall-density data (typed OPEN)	background (lam, c_E, ell, frak_c) free/explored; aF sign law A1 carried (well aF > 0 / bump aF < 0); blindness loci lam = 0 (P1-4D) / lam = -1/2 (P1-triad) => affine + tie absent; M-WALL/M-GEN agreement locus aF = 1 (lam = 1/2 / lam = 0)
P1-triad (aF=1+2lam)	KMOD0	NONVARIATIONAL	general member = arbitrary component tuple (source form): leading-symbol determinedness dichotomy (pairing-independent, banked T0) is the complete cell-general theorem; witnesses recomputed (W1 affine/determined; W2-fs quadratic-w; W3 degenerate); universality obstruction: no member-independent solution atlas ; KMOD0: k_mod = 0 pin, identity vacuous on the field-sector census (cell-general), L23 quotient carried	member-by-member atlas only (universality obstruction, stamped)	STILL-UNDETERMINED under M-GEN proper (Helmholtz defect obstructs a generator under the cell's own anchored pairing); DETERMINED under the labeled sub-branch M-GEN-eq (A2 even-handed extension, verifier-derived: the W1 tuple IS the weight-free aF = 0 generated tuple Euler(-Ltil0), banked identity; energy -Ltil0 conserved on the affine atlas): M = +-2 ell Ltil0, sign per tuple orientation (labeled); member stays NV under P1 (stamped) [DECISION-RELEVANT-R1]; W3: still-undetermined (no generated-tuple identity in banked structure)	DETERMINED = 0 (zero DECLARED wall blocks -- trivial, an artifact of the declaration, stamped; nonzero-wall NV members typed OPEN)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	no tie (zero moduli slots); W2-fs carries the quadratic-w atlas with NO lam-row	zero-declared walls: vacuous varied-fork wall eqs (banked); J09 per member; J07/J11/J08/corners as in LE cells; KMOD0 identity vacuous on field-sector census (cell-general)	background (lam, c_E, ell, frak_c) free/explored; aF sign law A1 carried (well aF > 0 / bump aF < 0); blindness loci lam = 0 (P1-4D) / lam = -1/2 (P1-triad) => affine + tie absent; M-WALL/M-GEN agreement locus aF = 1 (lam = 1/2 / lam = 0)
P2 (aF=0)	GENERIC	LOCALLY-EXACT	TE1 theorems (arbitrary member) as in anchored cells; at aF = 0 the quadratic class degenerates to the affine atlas u = u(0) + u'(0)x (banked blindness transition, cell-general through the weight)	closed form NOT obtained for p-mixed quadratic members (weight anisotropy) or non-quadratic members (Liouville-class) -- TE1 theorems still cover them; stated obstruction, stamped	AVAILABLE (derived): M-GEN = 2 ell E for EVERY LE member (E the TE1 first integral); quadratic class: 2 ell E0; sign definiteness-scoped (E0 < 0 members on indefinite sub-class)	AVAILABLE, IDENTICALLY ZERO on the affine atlas (pi_p = g_p p1 constant): reads zero mass on every P2-side LE solution	AVAILABLE: at aF = 0, V = 2 ell and M-DENS-coord = 2 ell E0 = M-GEN (agree)	AVAILABLE (labeled sense, WR-L/proper lineage): M-DENS-proper == M-GEN IDENTICALLY (the calibration row)	lam-row identically absent (aF' = 0): both branches vacuous, AGREE; survivors = whole atlas, all backgrounds (degenerate, reported); omega rows: k10 = 0 both branches	lam-row identically absent (aF' = 0): both branches vacuous, AGREE; survivors = whole atlas, all backgrounds (degenerate, reported); omega rows: k10 = 0 both branches	no tie either R2 branch (aF' = 0; banked P2 absence, now cell-general)	wall traces closed-form (w, w', atan f/h traces; canon-parity witness recomputed); J09 FILLED (node locus = real roots of w; definite class nodeless); J07/J11 NEEDS-TRANSITION-DATA; J08/L4 carried (components frak_c-free; periods NEED-COMPLETION-DATA); corners typed-only; P3 wall blocks: cut COUNT determined per parity-surviving slot, cut locus needs the free wall-density data (typed OPEN)	background free/explored; aF = 0 everywhere on the branch (weight-free)
P2 (aF=0)	GENERIC	NONVARIATIONAL	general member = arbitrary component tuple (source form): leading-symbol determinedness dichotomy (pairing-independent, banked T0) is the complete cell-general theorem; witnesses recomputed (W1 affine/determined; W2-fs quadratic-w; W3 degenerate); universality obstruction: no member-independent solution atlas	member-by-member atlas only (universality obstruction, stamped)	STILL-UNDETERMINED under M-GEN (pairing-generated); DETERMINED under the labeled sub-branch M-GEN-eq (tuple-autonomy first integral, banked provenance): M = 2 ell E0 on the quadratic-w atlas	DETERMINED = 0 (zero DECLARED wall blocks -- trivial, an artifact of the declaration, stamped; nonzero-wall NV members typed OPEN)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	STILL-UNDETERMINED (no derived density sense for a nonvariational member)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	moduli slots zero (reps): both branches vacuous, AGREE; general NV nonzero moduli slots: pointwise included in integrated, strictness member-dependent (typed)	no tie (zero moduli slots); W2-fs carries the quadratic-w atlas with NO lam-row	zero-declared walls: vacuous varied-fork wall eqs (banked); J09 per member; J07/J11/J08/corners as in LE cells; KMOD0 identity vacuous on field-sector census (cell-general)	background free/explored; aF = 0 everywhere on the branch (weight-free)
