gate	official_DR2_status	evidence_or_caveat
G-PROVENANCE	PASS	bao_data_v2.6_commit_b7b8a36_and_Cobaya_v3.6.2_commit_899f30a_pinned
G-OBSERVABLE	PASS_WITH_ONTOLOGY_CORRECTION	13_published_dimensionless_pattern_coordinates__no_origin_mechanism_assigned
G-COVARIANCE	PASS	13x13_exactly_symmetric_rank_13_positive_Cholesky__minimum_eigenvalue_0.00578998687
G-FIDUCIAL	PASS_AS_READOUT_LAYER	published_summary_is_template_compressed__not_a_raw_observer_pair_product
G-TWOLEG	PASS_FOR_SIX_BINS__ISOTROPIC_ONLY_FOR_BGS	six_DM_DH_pairs_plus_one_DV_only_point
G-LIKELIHOOD	PASS	released_Cobaya_and_independent_Decimal_replay_agree_to_2.2e-14_or_better
G-RULER	PASS_BY_RECLASSIFICATION	release_normalization_is_a_free_published_normalization_nuisance__not_a_ruler_in_UDT
G-NO-ORIGIN-IMPORT	PASS	acoustic_scale_standard_yardstick_and_LambdaCDM_interpretations_excluded
G-NO-FAVORABLE-SELECTION	PASS	all_13_released_components_retained_for_any_full_vector_use
G-REPRODUCIBLE	PASS	input_commits_hashes_scripts_outputs_and_commands_preserved
