item	status	note
audit_question	PREREGISTERED_AND_EXECUTED	no fit and no X_max estimate
local_lineages	DERIVED_CLASSIFICATION	one_character_only__one_unusable_fit_but_reprocessable__published_summaries_secondary
official_DR2_vector	VERIFIED_WITH_CAVEATS	13_components__full_vector_requires_published_normalization_nuisance
official_DR2_covariance	INDEPENDENTLY_VERIFIED	exactly_symmetric_positive_Cholesky__released_and_Decimal_likelihood_replays_pass
fiducial_mapping	CONDITIONAL_READOUT_ONLY	product_is_template_compressed__not_raw_observer_pair_data
published_normalization	OPEN_NUISANCE	no_ruler_or_acoustic_interpretation_assigned
normalization_free_shape	VERIFIED_DATA_PRODUCT	six_DM_over_DH_rows__delta_method_table_character_only_for_errors
primary_landing	EXTERNALLY_SUSTAINED_VERIFIED_WITH_CAVEATS	OFFICIAL_PRODUCT_READY_ONLY_WITH_DECLARED_FIDUCIAL_OR_RULER_NUISANCE
external_review	SUSTAINED_VERIFIED_WITH_CAVEATS	no_scientific_defect__two_documentary_repairs_implemented
joint_SNe_BAO_CMB_fit	FORBIDDEN_IN_THIS_PACKAGE	requires_later_preregistration
X_max_estimate	FORBIDDEN_IN_THIS_PACKAGE	requires_selected_one_relation_history_and_finite_asymptote_test
