item	status	role	omitted_or_open
primary static-spherical reciprocal areal metric	pinned-by-THEORY	bounded metric arena	time-live nonspherical and general complete metric sectors omitted
r0 greater than zero regular orbit	free-and-explored local chart choice	avoids center and coordinate singular strata	center isotropy-changing and global strata open
s equals log of r over r0	pinned-by-THEORY after areal calibration	invariant regular-orbit coordinate	orientation reversal tracked by outward n
phi_b equals s cubed plus c s fourth plus b s fifth	free-and-explored exact discriminator family	jet-collision witness	not a physical profile or fitted family
distinct b values	free-and-explored algebraic test values	separate fifth jets	no physical coefficient meaning
c and r0 test values in independent replay	free-and-explored algebraic test values	exact independent arithmetic	production retains symbolic c and r0
outward unit radial n	pinned-by-THEORY from metric and increasing areal radius	invariant contraction direction	regular stratum only
Levi-Civita curvature and covariant derivatives	STANDARD_GEOMETRIC_EVALUATOR	metric-native diagnostic	not dynamics or a field equation
fixed-n G204 family	CHOSE conditional control	positive finite-family closure control	family and parameters unselected
finite-order local natural autonomous law	bounded tested class	exact negative scope	nonlocal infinite-state and separately founded smaller families open
P1 G116 G189 transfer fits Xmax source action matter bootstrap and protected work	OMITTED_BY_PREREGISTRATION	not construction inputs	all remain open outside this test
