path	blob	sha256	size_bytes	first_commit	first_date	last_commit	last_date	provenance_era	matched_tokens	initial_disposition	reason
AGENTS.md	11df5ae6be1ba0fcf97a8e79d0b3c835279f0b37	ec77da04656188569977f6810735195da466ad02cf8332c1cc03db0757e83529	11102	83ad1e1ed222e4f8d565ab3dd773fd07ce453f90	2026-07-17	ea5b4bfc6f526e989e5733db1067e8bafdee6f17	2026-07-19	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	161325a0d866ddfa793a85caf21cf19a152671c9	2026-06-10	564ac41c15bb39b778d5b3181eefaf9e903bb275	2026-07-09	PRE_JULY1	Noether	NEGATIVE_CONTROL	pre-July-1 provenance firewall
F2_matter_action_forcedness_results.md	8f932eb8f1e6af4a83017bffeb0e82444875614a	1d1b852312615516910d489a67d9c9c8f445812678df19dbbe67e2b08cd2d1b2	20979	b72abebffecbfdcfbb247693d124115c66aaad06	2026-06-21	b72abebffecbfdcfbb247693d124115c66aaad06	2026-06-21	PRE_JULY1	bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
F5_critical_universe_closure_results.md	ae4b09f3be492805557dcba3d15b159565e5107b	16f800d165ae5abf10af3737cb4626e69c1df62c8cfccfa124ff5793d9548599	21590	9af19002e5de3faa9c438915505383baac11f48a	2026-06-21	b108d492c324750b4e3fd7084ea543b4cd54a786	2026-07-06	PRE_JULY1	bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
F7_scale_bridge_native_results.md	fefebe75d06c783d63e2aabd61b3c9d5544addfa	52551c529dfc99af9f2f12efbc8e7575f8f49a3efdac326018b266b29ea056a7	17028	9af19002e5de3faa9c438915505383baac11f48a	2026-06-21	9af19002e5de3faa9c438915505383baac11f48a	2026-06-21	PRE_JULY1	bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	31d8e7366a4a074a7fab9bac47ef65f439955c25	405edaf2302d5a9f8ed1cc2de48714fad0265b7eb310c8fc93c92567067cc480	27304	ce09790674f99a1a459e91510c8f7d1765663818	2026-06-21	4b226472c8f7c22dfcdd2c328a109e92d1df5abd	2026-07-18	PRE_JULY1	boundary charge;Noether;bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
HANDOFF.md	7ee42c73af9d5b219177afbba8d82bf2e4428d58	fb08696e936d24520a0ae95c403d37f1c51881013214266448bace6a9b99ada2	20761	defa4c17fc045c6b1854091894b347ac6b854330	2026-06-10	ad9e9bd5c27e4bfe40defcc225f81f2806a1c9f9	2026-07-19	PRE_JULY1	lapse flux;normalized charge;Common-Scale Neutrality;bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
HANDOFF_ARCHIVE.md	b257b2563729d016a430a7378baaeb21c8b75905	23340d081d4b52d1fbb7f019f0240d79891ca2c67ccd438698c7e29ef0cc85ec	130383	440490b91bd97c6e23b0ca13522f9260b1aeb673	2026-06-17	4b226472c8f7c22dfcdd2c328a109e92d1df5abd	2026-07-18	PRE_JULY1	Noether;bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
INDEX.md	448b1ac4d9c6d8a197dbdd9032b6f3fb2b9f6ed3	c17700e01054f9e4f3202a279dbfee2dea2dd6b7f39cf559faeede5cb6ce175e	12401	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-06-10	ad9e9bd5c27e4bfe40defcc225f81f2806a1c9f9	2026-07-19	PRE_JULY1	lapse flux;boundary charge;bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
LIVE.md	c440ba11a6780fd1611f78a5f3615188fdf702ed	abea79f197cb9558bb94ce33d8f24b69b04b98fdaa67833eae63ca6037fb1d0b	61250	ad5b76097509690c438d2cec7e04b9494bd9be53	2026-06-23	ad9e9bd5c27e4bfe40defcc225f81f2806a1c9f9	2026-07-19	PRE_JULY1	lapse flux;normalized charge;Common-Scale Neutrality;bootstrap	LOAD_BEARING	explicit controlling or algebraic source
