axis_id	question	allowed_outputs
D01	Does the branch corpus contain a complete regular metric witness?	OWNED_EXACT;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D02	Does an intrinsic observer-pair distribution or surface exist?	OWNED_EXACT;CONDITIONAL_AFTER_QUERY;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D03	Does that pair surface remain regular across the recorded global completion?	OWNED_EXACT;CONDITIONAL_AFTER_QUERY;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D04	Are overlap maps typed and composable on the declared structure?	OWNED_EXACT;CONDITIONAL_AFTER_QUERY;PATH_LABELLED_HOLONOMY;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D05	Are carried and independently rebuilt middle states identified by the metric?	OWNED_EXACT;CONDITIONAL_AFTER_QUERY;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D06	Is the middle reset or transition morphism owned rather than supplied?	OWNED_EXACT;CONDITIONAL_AFTER_QUERY;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D07	Is direct-versus-composite descent owned, with any path dependence explicitly retained?	OWNED_EXACT;CONDITIONAL_AFTER_QUERY;PATH_LABELLED_HOLONOMY;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D08	Is nontrivial holonomy classified without being erased or mistaken for a scalar reset?	OWNED_EXACT;CONDITIONAL_AFTER_QUERY;PATH_LABELLED_HOLONOMY;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D09	Can the terminal reciprocal readout be applied after the relation is supplied?	OWNED_EXACT;CONDITIONAL_AFTER_QUERY;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
D10	Does the branch own the complete physical pair-relation/descent selector?	OWNED_EXACT;MEMBER_DEPENDENT;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
