source_id	path	source_ref	git_blob	sha256	size
S01	udt_multiregime_pair_relation_admissibility_audit_2026-08-10/AUDIT_REPORT.md	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_multiregime_pair_relation_admissibility_audit_2026-08-10/AUDIT_REPORT.md	f42e40122ea0a0eb57f81fc4cfe54165b1c812e6	a95552e9be04fea0d7ab115a14cc5b36bd2ddba6b335bb036fa14d6268482d13	3526
S02	udt_multiregime_pair_relation_admissibility_audit_2026-08-10/BRANCH_ADMISSIBILITY_PROFILES.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_multiregime_pair_relation_admissibility_audit_2026-08-10/BRANCH_ADMISSIBILITY_PROFILES.tsv	6bf87a4bccc891a97a1359c629cb9bbcbbc626a3	18238b146e38681a0d2c208415070e437bdc92f4dbae98a8b13edaa1912912c7	6657
S03	udt_multiregime_pair_relation_admissibility_audit_2026-08-10/BRANCH_AXIS_MATRIX.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_multiregime_pair_relation_admissibility_audit_2026-08-10/BRANCH_AXIS_MATRIX.tsv	51c3de41e55932be43125169dceca891e59fc33d	f5e2ad6b80d001633456404733c8d265468ed4481867ac9ebfd1244448979820	16837
S04	udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	f0927ddfdb69c1f0597ce0ed4a833eaa865d008e	4a5505c35c5c154eb65228f5880970d50dbecd03628776df1e722db7cb5cfd0f	4218
S05	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	d5b1c920f116d5b0f56478fc489909e53e3dbdcc	5ea123f9bb7407b840270dfb51aa4fc080f85a9a17b0538dfd1abf8960d5dc15	13106
S06	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/OVERLAP_OWNERSHIP_ATLAS.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_three_observer_overlap_calibration_carry_audit_2026-08-10/OVERLAP_OWNERSHIP_ATLAS.tsv	0d5891e8ed9ed052642fdaef0f2b851befdee127	ca43a2df7a953f71d9139296fda9344d2176796d1213885219111a5856025f08	23793
S07	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	3867fe6bbe43bf3df5f1d5887a2719da6af889d1	c691c14076f179c8765f9261521a4f9e2c21ab1e1c3817dfb199085098d13d1c	10789
S08	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/TRANSITION_OWNERSHIP_ATLAS.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/TRANSITION_OWNERSHIP_ATLAS.tsv	9a430e98e0674d1fc2db61ab5c285f922c10d0a4	070206c8a6a9eaf87f5bc8c29199323400831ff6ac5471944090b9429872cc36	11587
S09	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	4a52ada768c25257641e01cfdc3c67b436e8ed82	30b563b30e4ab6ac2af11c77cf28d627fa8dd400f854617cb55be1177e2f723b	9329
S10	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/MIDDLE_MORPHISM_ATLAS.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/MIDDLE_MORPHISM_ATLAS.tsv	d473fc44d55e11182496103f757c1a5ab6c420b7	27e213afc0cfae26e304bf364adcf13c3748bc2f52bf3ac006e2e4476bed7328	1512
