claim_id	claim	status	scope	remaining_open_or_limit
G01	generic_multiplier_reaction_algebra_survives	RETAINED	category_A_exact_variation	no_native_B
G02	aligned_and_reactive_constraint_witnesses_survive	RETAINED	finite_dimensional_countermodels	not_complete_universes
G03	finite_penalty_is_not_exact_hard_constraint	RETAINED	finite_positive_alpha	controlled_singular_limit_not_used
G04	Noether_identity_does_not_select_field_census	RETAINED	finite_gauge_analogue	parent_native_symmetry_open
G05	multiplier_changes_finite_boundary_momentum	RETAINED	one_dimensional_boundary_anchor	complete_cell_boundary_action_open
G06	prior_BOTH_CONDITIONALLY_ADMISSIBLE_ruling_survives	RETAINED	metric_only_vs_auxiliary_bookkeeping	no_native_branch_selection
G07	bootstrap_UNDERDETERMINED_ruling_survives	RETAINED	on_shell_global_closure	predicate_multiplier_or_map_role_open
G08	finite_mirrored_cell_replaces_spatial_infinity	RETAINED	binding_domain	boundary_corner_charge_completion_open
G09	bulk_covariance_is_only_a_conditional_parent_class	RECLASSIFIED_CONDITIONAL	boundary_compatible_group_not_derived	native_symmetry_open
G10	Hamiltonian_like_equation_is_a_parent_and_foliation_conditional_projection	RECLASSIFIED_CONDITIONAL	requires_parent_tensor_equation_normal_and_foliation; physical_normalization_may_be_post_scale	parent_UDT_equation_and_initial_data_analysis_absent
G11	momentum_like_equations_are_parent_and_foliation_conditional_projections	RECLASSIFIED_CONDITIONAL	require_parent_tensor_equation_normal_and_foliation; physical_normalization_may_be_post_scale	parent_UDT_equation_and_initial_data_analysis_absent
G12	lapse_has_only_a_formal_multiplier_status_here	RECLASSIFIED_CONDITIONAL	generic_canonical_toy	UDT_ontology_not_derived
G13	native_shift_ontology_and_detailed_formal_role	OPEN	no_shift_like_anchor_was_derived_in_this_audit	parent_decomposition_field_census_and_shift_equations_absent
G14	positive_CSN_rescaling_preserves_causal_reachability	RETAINED	smooth_positive_rescaling_fixed_signature_and_time_orientation	material_rods_clocks_and_representative_still_open_separately
G15	parent_covariant_UDT_equation	OPEN	required_for_native_projection	complete_action_source_and_equations_missing
G16	off_shell_metric_only_vs_auxiliary_field_census	OPEN	co_presence_nonselecting	configuration_space_authority_missing
G17	local_constraint_propagation	OPEN	requires_evolution_or_response_law	well_posed_dynamics_and_data_missing
G18	bootstrap_predicate_multiplier_or_selection_map	OPEN	whole_solution_role_only	off_shell_functional_or_map_missing
G19	material_no_signalling_theorem	OPEN	metric_cone_is_not_sufficient	coupling_hyperbolicity_and_retarded_map_missing
G20	co_presence_itself_propagates_constraints	REJECTED_AS_INFERENCE	whole_history_membership_is_not_local_dynamics	keep_global_and_response_layers_distinct
G21	standalone_ADM_constraints_are_native_UDT_laws	REJECTED_AS_INFERENCE	no_parent_native_equation_or_foliation	derive_parent_first
G22	lapse_or_shift_are_native_physical_fields	REJECTED_AS_INFERENCE	formalism_does_not_assign_ontology	derive_field_census
G23	a_projected_constraint_is_foliation_independent_by_itself	REJECTED_AS_INFERENCE	exact_boosted_tensor_counterexample	complete_tensor_equation_is_parent
G24	co_presence_selects_C2_EH_or_a_unique_bridge	REJECTED_AS_INFERENCE	shared_global_and_causal_structures_are_nondiscriminating	action_selector_and_matching_remain_open
G25	Common_Scale_Neutrality	RETAINED	FOUNDING_pre_scale_equivalence_class	no_representative_action_or_physical_calibration_selected
G26	physical_clock_ruler_calibration	OPEN	positive_rescaling_preserves_cones_but_not_operational_scale	representative_selection_and_material_transformation_rules_missing
G27	hard_substitution_is_not_unrestricted_parent_variation	RETAINED	prior_REFUTED_GENERICALLY_result_preserved	equivalence_requires_normal_equation_or_theorem
