role_id	role	definition	co_presence_effect	required_before_physical_use
T01	WHOLE_SOLUTION_ADMISSIBILITY	predicate_B_of_S_equals_zero_on_completed_candidate_solutions	natural_layer_zero_placement_but_not_selected_as_varied_law	derived_predicate_and_solution_space
T02	VARIED_MULTIPLIER_CONSTRAINT	eta_B_added_to_action_and_all_declared_variables_varied	unchanged_reaction_and_boundary_terms_remain	derived_B_multiplier_authority_and_complete_variation
T03	RESTRICTED_VARIATION_DOMAIN	variations_tangent_to_B_equals_zero_submanifold	unchanged_not_equivalent_to_unrestricted_parent_by_membership_alone	normal_equation_redundancy_or_equivalence_theorem
T04	SOFT_PENALTY_APPROXIMATION	finite_penalty_added_without_exact_multiplier_equation	co_presence_does_not_turn_approximate_enforcement_into_exact_admissibility	controlled_limit_and_error_bound_if_used
T05	NOETHER_IDENTITY	gauge_symmetry_relation_among_Euler_equations	whole_solution_semantics_adds_no_independent_equation	parent_action_and_boundary_compatible_symmetry
T06	SYMMETRY_PREMISE	candidate_invariance_group_of_parent_law_or_solution_space	co_presence_does_not_select_the_group_or_convert_it_into_an_equation	native_symmetry_group_and_boundary_compatible_generators
T07	FOLIATION_PROJECTED_EQUATION	normal_normal_or_normal_tangent_projection_of_parent_tensor_equation	becomes_a_conditional_readout_not_a_whole_solution_selector	parent_equation_selected_representative_and_foliation
T08	INITIAL_DATA_CONSTRAINT	condition_on_one_slice_that_local_equations_may_propagate	co_presence_does_not_supply_propagation	well_posed_local_dynamics_data_and_propagation_theorem
T09	BOUNDARY_DIFFERENTIABILITY_CONDITION	boundary_data_or_term_required_for_a_differentiable_finite_cell_problem	global_cell_makes_it_mandatory_but_does_not_choose_it	complete_bulk_variation_boundary_corner_action_and_generators
T10	MATERIAL_CAUSAL_RESPONSE_CONDITION	retarded_support_or_no_signalling_requirement_for_physical_interventions	compatible_consistency_obligation_not_a_global_membership_consequence	material_operator_hyperbolicity_coupling_and_data_domain
T11	SPACETIME_DOMAIN_ONTOLOGY	choice_of_finite_cell_infinity_or_other_domain_as_part_of_the_foundation	co_presence_may_be_formulated_on_the_domain_but_does_not_select_boundary_completion	binding_domain_rule_and_complete_boundary_data
T12	FIELD_CENSUS_OR_ONTOLOGY	declaration_of_which_variables_are_fundamental_auxiliary_gauge_or_derived	co_presence_does_not_select_off_shell_variables	configuration_space_authority_and_transformation_rules
T13	REPRESENTATIVE_CALIBRATION_RULE	selection_and_physical_interpretation_of_a_metric_representative_with_rods_and_clocks	causal_reachability_is_preserved_without_fixing_physical_scale	representative_selection_and_material_calibration_law
T14	PARENT_DYNAMICAL_LAW_OR_ACTION_BRIDGE	complete_equations_action_or_map_from_which_constraints_and_stages_follow	co_presence_is_compatible_but_nondiscriminating	native_derivation_with_field_census_variation_and_finite_boundary_completion
T15	DECLARED_FIELD_VARIATION_RULE	rule_specifying_which_declared_fields_are_varied_and_with_what_domain	co_presence_does_not_choose_unrestricted_restricted_or_staged_variation	native_variation_authority_and_equivalence_audit
T16	KINEMATIC_OR_SCALING_SELECTOR	foundational_reciprocity_CSN_or_conformal_causal_class_rule	co_presence_is_compatible_but_does_not_supply_operational_scale	exact_selector_scope_and_material_interpretation
T17	WHOLE_SOLUTION_SELECTION_MAP	map_from_candidate_or_equivalence_class_to_a_selected_representative_or_solution	co_presence_does_not_supply_existence_uniqueness_or_differentiability	derived_map_authority_and_global_boundary_compatibility
T18	CATEGORY_A_EXISTENCE_WITNESS	explicit_mathematical_example_showing_logical_compatibility_or_nonuniqueness	co_presence_can_be_shared_by_distinct_witnesses_without_making_either_native	complete_native_realization_and_premise_authority
