crosswalk_id	source_artifact	source_record	source_object	exact_source_status	operator_provenance	audit_disposition	co_presence_effect	remaining_scope
S01	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G02	Diffeomorphism covariance	RETAIN_TRIAL_CONDITIONAL	POST_JULY_TRIAL	PRESERVED	compatible_parent_symmetry_premise_not_constraint_or_field_selector	finite_cell_group_and_native_symmetry_open
S02	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G03	Unrestricted variation of declared fields	RETAIN_TRIAL	POST_JULY_TRIAL	PRESERVED	declared_field_variation_rule_not_selected_by_copresence	native_variation_authority_open
S03	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G04	Branch A metric-only census	UNRESOLVED_TRIAL	POST_JULY_TRIAL	PRESERVED	field_census_not_constraint_role	selection_open
S04	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G05	Branch B auxiliary-constraint census	UNRESOLVED_TRIAL	POST_JULY_TRIAL	PRESERVED	field_census_not_selected_by_copresence	native_C_and_authority_open
S05	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G06	Paired selector result	BOTH_CONDITIONALLY_ADMISSIBLE	POST_JULY_TRIAL	PRESERVED	shared_whole_solution_semantics_excludes_neither_witness	complete_native_competitors_absent
S06	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G07	Generic multiplier equations	DERIVED_CATEGORY_A	POST_JULY_CATEGORY_A	PRESERVED	varied_multiplier_role_remains_exact	native_functional_absent
S07	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G08	Aligned constraint witness	DERIVED_CATEGORY_A	POST_JULY_CATEGORY_A	PRESERVED	root_redundancy_does_not_prove_off_shell_equivalence	general_theorem_absent
S08	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G09	Reactive constraint witness	DERIVED_CATEGORY_A	POST_JULY_CATEGORY_A	PRESERVED	nonzero_normal_reaction_remains_exact	native_reactive_constraint_absent
S09	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G10	Finite penalty equivalence	REFUTED_FOR_FINITE_POSITIVE_ALPHA	POST_JULY_CATEGORY_A	PRESERVED	soft_penalty_is_not_restricted_variation_or_exact_admissibility	controlled_limit_open
S10	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G11	Hard substitution as Branch A	REFUTED_GENERICALLY	POST_JULY_CATEGORY_A	PRESERVED	hard_substitution_is_restricted_tangent_variation	equivalence_theorem_absent
S11	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G12	Covariance selection of field census	REFUTED_AS_SUFFICIENT	POST_JULY_CATEGORY_A	PRESERVED	symmetry_premise_and_Noether_identity_do_not_select_fields	native_field_selector_absent
S12	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G13	CSN exclusion of multiplier	REFUTED_AS_GENERIC_EXCLUSION	POST_JULY_CATEGORY_A	PRESERVED	CSN_weight_compensation_survives_without_deriving_multiplier	concrete_native_C_open
S13	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G14	Finite-cell differentiable completion	OPEN	POST_JULY_TRIAL	PRESERVED	global_domain_strengthens_need_but_does_not_supply_completion	boundary_corner_charge_open
S14	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G15	Metric-is-the-theory exclusion of auxiliary bookkeeping	NOT_ESTABLISHED	POST_JULY_TRIAL	PRESERVED	ontology_rule_not_constraint_role	owner_or_derived_auxiliary_rule_open
S15	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G16	Bootstrap field-census selection	OPEN_NOT_SELECTED	POST_JULY_TRIAL	PRESERVED	whole_solution_closure_does_not_select_off_shell_fields	bootstrap_off_shell_role_open
