item_id	prior_item	source_artifact	source_record	scientific_status	operator_provenance	role_under_copresence	prerequisites	co_presence_effect	overlay_disposition	remaining_scope	future_gate
R01	generic_multiplier_variation	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G07	DERIVED_CATEGORY_A	POST_JULY_CATEGORY_A	VARIED_MULTIPLIER_CONSTRAINT	declared_B_multiplier_and_complete_variation	reaction_and_multiplier_equation_remain_exact	RETAINED	no_native_constraint_authority	derive_B_and_multiplier_role
R02	aligned_and_reactive_witnesses	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G08_G09	DERIVED_CATEGORY_A	POST_JULY_CATEGORY_A	CATEGORY_A_EXISTENCE_WITNESS	explicit_finite_dimensional_functionals	constraints_can_be_redundant_or_reactive	RETAINED	neither_witness_is_a_UDT_universe	derive_native_complete_example
R03	finite_penalty_non_equivalence	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G10	REFUTED_FOR_FINITE_POSITIVE_ALPHA	POST_JULY_CATEGORY_A	SOFT_PENALTY_APPROXIMATION	finite_positive_alpha	co_presence_does_not_make_soft_enforcement_exact	RETAINED	controlled_singular_limit_open	prove_limit_if_used
R04	finite_gauge_Noether_identity	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G12	DERIVED_CATEGORY_A	POST_JULY_CATEGORY_A	NOETHER_IDENTITY	parent_symmetry_and_Euler_equations	whole_solution_semantics_adds_no_independent_equation	RETAINED	parent_native_symmetry_open	derive_native_action_and_group
R05	multiplier_boundary_piece	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G14	DERIVED_CATEGORY_A	POST_JULY_CATEGORY_A	BOUNDARY_DIFFERENTIABILITY_CONDITION	selected_bulk_variation_and_finite_boundary	global_cell_makes_boundary_reaction_mandatory_if_multiplier_used	RETAINED	complete_finite_cell_completion_open	derive_bulk_boundary_corner_system
R06	paired_trial_top_level	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G06	BOTH_CONDITIONALLY_ADMISSIBLE	POST_JULY_TRIAL	FIELD_CENSUS_OR_ONTOLOGY	common_trial_premises_and_category_A_witnesses	co_presence_excludes_neither_metric_only_nor_auxiliary_bookkeeping	RETAINED	no_complete_competing_theories	derive_native_off_shell_authority
R07	bootstrap_selector_top_level	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B02_B13	ON_SHELL_CLOSURE_OR_ADMISSIBILITY;UNDERDETERMINED	POST_JULY_BOOTSTRAP_AUDIT	WHOLE_SOLUTION_ADMISSIBILITY	exact_owner_clauses_and_registered_countermodels	current_bootstrap_filters_realized_solutions_without_selecting_variation	RETAINED	predicate_multiplier_or_map_role_open	derive_bootstrap_off_shell_role
R08	finite_mirrored_cell	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	finite_cell_structure	CANONIZED / BINDING	POST_JULY_SELECTOR_AUDIT	SPACETIME_DOMAIN_ONTOLOGY	binding_finite_mirrored_cell	spatial_infinity_remains_rejected_as_native	RETAINED	boundary_action_charge_and_data_open	derive_finite_cell_completion
R09	bulk_diffeomorphism_covariance	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G02	RETAIN_TRIAL_CONDITIONAL	POST_JULY_TRIAL	SYMMETRY_PREMISE	boundary_compatible_group_not_derived	co_presence_does_not_convert_symmetry_premise_into_constraint	RECLASSIFIED_CONDITIONAL	active_boundary_preserving_group_open	derive_native_symmetry_and_generators
R10	Hamiltonian_like_projection	copresence_gr_constraint_regrade_2026-07-19/PREREGISTRATION.md	R4_foliation_projected_constraints	PREREGISTERED_TEST_NOT_ADOPTED	GR_COMPARISON_READOUT_ONLY	FOLIATION_PROJECTED_EQUATION	parent_tensor_equation_normal_and_foliation	co_presence_does_not_make_projection_native_or_initial_data	RECLASSIFIED_CONDITIONAL	physical_normalization_may_be_post_scale; principal_part_and_propagation_absent	derive_parent_E_munu_foliation_and_propagation
