layer	coverage	status	omission_effect
4D product curvature	full curvature contractions for epsilon_t d tau^2+g3	EXACT_FOR_SLICE	variable lapse, shift, time dependence, and reciprocal time/radial coupling require new calculation
reciprocal-toric spatial metric	arbitrary positive H(eta), constant positive a/b, diagonal Hopf action, smooth primitive S3 caps	EXACT_CONDITIONAL_FAMILY	functional squashing, off-diagonal toric data, lens/no-cap branches, and transverse-slot derivation remain open
reduced variation	H Euler-Lagrange equation before constant restriction; constant squashing modulus variation; all constant partial roots retained	COMPLETE_FOR_STATED_VARIABLES	general function-valued a(eta),b(eta) and other coframe fields are absent
full field equation	Bach 00 compact integral plus zero-Weyl sufficiency; explicit false-root test	DECISIVE_FOR_COMPACT_PRODUCT_FAMILY	full component formulas are unnecessary after B00 forces Weyl zero; boundary and nonproduct branches evade the theorem
quadratic expansion	exact H shape mode and one smooth test function	BOUNDED	complete tensor-mode spectrum, gauge quotient, nonlinear reduction, and time-live propagation remain open
boundary	smooth mathematical caps treated as no-boundary S3; current physical finite-cell absence recorded	CONDITIONAL_COMPACT_ONLY	physical wall flux or boundary action could alter selection
bootstrap and Xmax	current source wording audited; no insertion	SOURCE_COMPLETE_FOR_CURRENT_RULE	future off-shell/global eigenproblem could add an equation
carrier and matter	S2, section, soldering, L2+L4, source, and electron calibration excluded	NOT_PART_OF_SOLVE	no matter-action or particle claim is permitted
overall scale	CSN homothety counted exactly	EXACT_SCOPED	absolute b, Xmax, mass, and density remain open
numerics	no long solve or GPU search	NOT_RUN_BY_DESIGN	exact algebra answers the bounded branch question
external adversarial review	no fresh disclosure authorization	NOT_PERFORMED	maximum grade remains VERIFIED-WITH-CAVEATS
