catch	result
base_source_mutation_rejected	PASS
bootstrap_overclaim_rejected	PASS
boundary_overclaim_rejected	PASS
carrier_import_rejected	PASS
compact-boundary_overclaim_rejected	PASS
derivation_metric_carrier_conflation_rejected	PASS
derivation_partial_root_promotion_rejected	PASS
false-root_overclaim_rejected	PASS
frozen-H_overclaim_rejected	PASS
material_overclaim_rejected	PASS
maximum_conclusion_overreach_rejected	PASS
metric-carrier_overclaim_rejected	PASS
missing_branch_rejected	PASS
missing_census_row_rejected	PASS
missing_equation_rejected	PASS
missing_source_adjudication_rejected	PASS
missing_status_rejected	PASS
partial_false_branch_acceptance_rejected	PASS
physical_boundary_silent_exclusion_rejected	PASS
product_overclaim_rejected	PASS
roundness_overclaim_rejected	PASS
status-action_overclaim_rejected	PASS
status-bootstrap_overclaim_rejected	PASS
status-carrier_overclaim_rejected	PASS
status-electron_overclaim_rejected	PASS
status-round_overclaim_rejected	PASS
status-scale_overclaim_rejected	PASS
status-wall_overclaim_rejected	PASS
status-weight_overclaim_rejected	PASS
time_live_completion_invention_rejected	PASS
