candidate_id	family	frozen_source	preaudit_role
E01	founded reciprocal character	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	FOUNDATIONAL_KINEMATIC
E02	C2 Bach and EH conditional actions	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv	ACTION_EQUATION_CANDIDATE
E03	final native-action adjudication	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	ACTION_OWNERSHIP_CONTROL
E04	conceptual object and variation typing	udt_conceptual_object_type_dependency_audit_2026-08-05/AUDIT_REPORT.md	TYPE_OWNERSHIP_CONTROL
E05	complete pair phi orchestra and bootstrap	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	PAIR_AND_BOOTSTRAP_CANDIDATE
E06	time extendability constraints	udt_time_extendability_constraint_audit_2026-07-20/AUDIT_REPORT.md	TIME_CONSTRAINT_CANDIDATE
E07	C2 time-fiber shift Jacobi	c2_time_fiber_shift_jacobi_2026-07-20/AUDIT_REPORT.md	CONDITIONAL_TIME_EQUATION_CANDIDATE
E08	time-live characteristic and flux	udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md	TIME_LIVE_CANDIDATE
E09	time-live spherical areal polarization	udt_timelive_spherical_areal_polarization_audit_2026-07-22/AUDIT_REPORT.md	TIME_LIVE_CANDIDATE
E10	P4 time-live family map	udt_p4_timelive_map_2026-07-31/TIME_LIVE_MAP.md	TIME_LIVE_FAMILY_CONTROL
E11	P4 time-live stage T1	udt_p4_timelive_stage_T1_2026-07-31/AUDIT_REPORT.md	TIME_LIVE_CANDIDATE
E12	P4 time-live stage T2	udt_p4_timelive_stage_T2_2026-07-31/AUDIT_REPORT.md	TIME_LIVE_CANDIDATE
E13	P4 time-live stage T3	udt_p4_timelive_stage_T3_2026-07-31/AUDIT_REPORT.md	TIME_LIVE_CANDIDATE
E14	BAO D2 time-live transfer	udt_bao_origin_D2_timelive_transfer_2026-08-08/DERIVATION_NOTES.md	TRANSFER_EQUATION_CANDIDATE
E15	time-live depth cocycle probe	udt_timelive_depth_cocycle_probe_2026-08-05/DERIVATION_NOTES.md	TIME_LIVE_RELATION_CANDIDATE
E16	time-live nonlocal co-presence	udt_timelive_nonlocal_copresence_2026-08-06/MAP_AND_PROBE1.md	TIME_LIVE_RELATION_CANDIDATE
E17	vary phi not metric probe	udt_vary_phi_not_metric_probe_2026-08-06/DERIVATION_NOTES_ceff_reciprocal.md	VARIATION_CANDIDATE
E18	factorized whole spacetime skeleton	udt_factorized_whole_spacetime_skeleton_2026-08-04/AUDIT_REPORT.md	CONFIGURATION_EQUATION_CANDIDATE
E19	complete-coframe extension solvability	udt_complete_coframe_extension_solvability_audit_2026-08-04/AUDIT_REPORT.md	EXTENSION_EQUATION_CANDIDATE
E20	full-coframe response selection	udt_full_coframe_response_selection_audit_2026-08-04/AUDIT_REPORT.md	RESPONSE_EQUATION_CANDIDATE
E21	joint realization closure	udt_joint_realization_closure_audit_2026-08-01/AUDIT_REPORT.md	JOINT_EQUATION_CANDIDATE
E22	bootstrap closure ownership	udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	BOOTSTRAP_EQUATION_CANDIDATE
E23	bootstrap projector admissibility	udt_bootstrap_projector_admissibility_interface_2026-08-01/AUDIT_REPORT.md	BOOTSTRAP_INTERFACE_CANDIDATE
E24	bootstrap to local response	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md	BOOTSTRAP_RESPONSE_CANDIDATE
E25	global-local relational closure	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	GLOBAL_LOCAL_EQUATION_CANDIDATE
E26	dynamics branch ruling P04	udt_dynamics_branch_ruling_p04_2026-07-21/AUDIT_REPORT.md	DYNAMICS_SELECTOR_CANDIDATE
E27	complete-coframe native selector	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	NATIVE_SELECTOR_CANDIDATE
E28	basic versus universal query residual	udt_basic_vs_universal_query_residual_audit_2026-08-04/AUDIT_REPORT.md	RESIDUAL_EQUATION_CANDIDATE
E29	R17 stationary local one-forms	udt_r17_stationary_local_one_form_selection_audit_2026-08-10/AUDIT_REPORT.md	R17_LOCAL_LAW_CANDIDATE
E30	R17 path-labelled connection	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/AUDIT_REPORT.md	R17_PATH_LAW_CANDIDATE
E31	R17 global descent and reset ownership	udt_global_descent_pair_surface_reset_ownership_audit_2026-08-10/AUDIT_REPORT.md	TARGET_OWNERSHIP_CONTROL
E32	WRL SNe pair-space readout	udt_pair_space_metric_transform_sne_readout_audit_2026-07-24/AUDIT_REPORT.md	OBSERVATIONAL_READOUT_CONTROL
E33	C1 harmonic coupling operator	udt_cmb_N01_C1_harmonic_coupling_matrix_atlas_2026-08-09/AUDIT_REPORT.md	CONDITIONAL_OPERATOR_CONTROL
E34	static Hopfion topology and stability	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	CONDITIONAL_MATTER_CONTROL
E35	post-July mass-branch authority map	udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv	MASS_EQUATION_CONTROL
E36	Maxwell-like angular toric closure	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	CONDITIONAL_GEOMETRIC_EQUATION_CONTROL
