candidate_id	path	source_ref	git_blob	sha256	size
E01	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	3edcad2592e8e4053e88a1e7f646cb9d8a660871:udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	cc4e1da62c1cb1f5f4c53923b4e0b89f035f671f	0d83baaaa9f0586cb3f3b0cd7af16b201996a124dba6a050c71624a2e638a4fd	8763
E02	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv	3edcad2592e8e4053e88a1e7f646cb9d8a660871:udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv	2afe2ca39ade32cc9c9873f6100239f2681ea37a	18076d2145bfb954b7a998c71de1f0eedad919c63c59ec75dcbf408a4432e0c6	3555
E03	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	3edcad2592e8e4053e88a1e7f646cb9d8a660871:native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	bc30820893a31b1458a1e086eabfef7dd3ed7959	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	8676
E04	udt_conceptual_object_type_dependency_audit_2026-08-05/AUDIT_REPORT.md	3edcad2592e8e4053e88a1e7f646cb9d8a660871:udt_conceptual_object_type_dependency_audit_2026-08-05/AUDIT_REPORT.md	1d23adceeb3420f190dcbbc346624e92f5033fbe	dd3c3adc245083bf25d9f41e7e8eaea73379fed5cb569f64f24698d44c3332df	10428
E05	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	3edcad2592e8e4053e88a1e7f646cb9d8a660871:udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	b30657329afec5d81037602836915be3533e15f3	ed8f3039a2946a3bcde6400d166d730df4d9c444554a4e0846fcc51d500e46f9	5205
E06	udt_time_extendability_constraint_audit_2026-07-20/AUDIT_REPORT.md	3edcad2592e8e4053e88a1e7f646cb9d8a660871:udt_time_extendability_constraint_audit_2026-07-20/AUDIT_REPORT.md	379b72d5325500849e1e10d9862147cb0c87aa0e	2052d25e338064f8fe51e78a521bc2a54d3e27913e04040185eb2fd7d97872e1	9120
E07	c2_time_fiber_shift_jacobi_2026-07-20/AUDIT_REPORT.md	3edcad2592e8e4053e88a1e7f646cb9d8a660871:c2_time_fiber_shift_jacobi_2026-07-20/AUDIT_REPORT.md	d202b9edd03e8f6caba648be14b78dcaac7485f0	93b37d3e840c3b7854acdd36bbfa14d87661d26c1f38b31972c4bec89d3af47c	6658
E08	udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md	3edcad2592e8e4053e88a1e7f646cb9d8a660871:udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md	ebdd13d6949e0b066cf116f951c418611c2785ad	6949cfd631e13efe472713c887a586278f312d3798c0f60ea7218ff667761550	8882
E09	udt_timelive_spherical_areal_polarization_audit_2026-07-22/AUDIT_REPORT.md	3edcad2592e8e4053e88a1e7f646cb9d8a660871:udt_timelive_spherical_areal_polarization_audit_2026-07-22/AUDIT_REPORT.md	45be0157f4f6862daaa9e8d231219400d9d57905	5775e093e0260ed7f6eeb5e75541149a7fdc99241554ef76dd11baec53b9ed8e	7105
E10	udt_p4_timelive_map_2026-07-31/TIME_LIVE_MAP.md	3edcad2592e8e4053e88a1e7f646cb9d8a660871:udt_p4_timelive_map_2026-07-31/TIME_LIVE_MAP.md	e56664bacd66d7bcbdbddd9d64dbed2793e1ceb8	674f79a575add13a529d940b524c7915def854284bb1dcd245ee301fa2e1fb04	13159
