premise_id	premise	status	use	forbidden_promotion
P01	founded reciprocal character on supplied ordered depth	DERIVED	target scalar type	equation or pair map
P02	R17 regular stationary complete-coframe family	CONDITIONAL_OFF_SHELL	input type under audit	selected physical universe
P03	R17 global pair foliation and path functor	VERIFIED_WITH_CORRECTIONS	owned geometric input	physical leaf path or query
P04	R17 SO2 projector-alignment bitorsor	OWNED_EXACT	middle projector bridge	selected calibration representative
P05	R17 calibration-bearing scalar reset	OPEN	target output	already owned
P06	R18 clock-only descent	OWNED_EXACT_SCOPED	separate control	R17 ruler completion
P07	complete native action source and boundary	OPEN	ownership gate	available evolution law
P08	C2/Bach action	UNIQUE_CONDITIONAL	candidate equation family	native current action
P09	EH action	CONDITIONAL_NOT_SELECTED	candidate equation family	native current action
P10	S2 carrier and L2+L4	POSIT_CONDITIONAL	matter control	native carrier or action
P11	bootstrap global-local closure	WORKING_HYPOTHESIS	candidate owner class	derived selector
P12	SNe WR-L relation	CONDITIONAL_COMPATIBILITY_ANCHOR	readout control	upstream equation selector
P13	C1 CMB operator	CONDITIONAL_SCALAR_TEST_OPERATOR	readout/equation control	physical complete-coframe evolution
P14	Xmax	WORKING_PAIR_ASYMPTOTE	global constraint context	boundary or reset equation
P15	protected curvature atlas	EXCLUDED_UNTRACKED	must remain unread	current authority
