source	target	relation	owner_status
c_E	tau_coordinate	calibrates_clock_to_ruler	OBSERVED_FOUNDATIONAL_ANCHOR
R	metric	overall_constant_scale_after_tau_substitution	FREE_UNSELECTED
G75_profile	metric	supplies_A_and_q_control_functions	CHOSE_BOUNDED_CONTROL
observer_and_endpoint	relation_map	supplies_query_domain_and_crossing	PINNED_HISTORICAL_CONTROL
metric_plus_query	relation_map	evaluates_null_sky_relation	DERIVED_CONDITIONAL_ON_QUERY
relation_map	screen_response	transports_source_channels	DERIVED_CONDITIONAL_ON_QUERY
source_state	observed_sky	is_pulled_back_and_transformed	OPEN_NO_OWNER
SNe_P1	low_z_pair_relation	conditional_compatibility_anchor	OBSERVED_CONDITIONAL
X_max	physical_pair_realization	necessary_asymptotic_gate	WORKING_FOUNDATIONAL_FRAME
physical_query_or_global_completion	endpoint_and_profile	missing_selection_map	OPEN
native_source_law	source_state	missing_population_map	OPEN
