path	candidate_axis	adjudication	load_bearing_use
CURRENT_SCIENTIFIC_PREMISES.tsv	ALL	CURRENT_AUTHORITY_GUARD	Prevents promotion of current open physical owners.
udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md	ENDPOINT_SCALE	NECESSARY_REQUIREMENT_ONLY	Separates observer-pair asymptote from chart endpoint and numerical value.
udt_sne_native_observer_query_replay_2026-08-11/EXACT_DERIVATION.md	ENDPOINT_SCALE	COMPATIBILITY_ANCHOR_ONLY	Types P1 as r(phi_pair) and records the absent complete SNe query/profile join.
udt_sne_native_observer_query_replay_2026-08-11/CORRECTION_OWNER_LEDGER.tsv	ENDPOINT_SCALE	NO_CMB_PROFILE_OWNER	Separates SNe readout ownership from full geometry ownership.
udt_cmb_G69_profile_endpoint_source_identifiability_2026-08-11/EXACT_DERIVATION.md	SOURCE	EXACT_UNRESTRICTED_SOURCE_DEGENERACY	Supplies the invertible congruence theorem.
udt_cmb_G70_query_owned_restriction_atlas_2026-08-11/EXACT_DERIVATION.md	SOURCE	CONDITIONAL_IDENTIFIABILITY_ONLY	Known covariance and carry can help algebraically but are not owned.
udt_cmb_G71_native_restriction_owner_audit_2026-08-11/EXTERNAL_REVIEW_ADJUDICATION.md	ALL	PRIOR_OWNER_RESULT_UPHELD	External review confirms no prior native profile endpoint or source owner.
udt_cmb_G71_native_restriction_owner_audit_2026-08-11/OWNER_TARGET_LEDGER.tsv	ALL	PRIOR_OWNER_LEDGER	Provides the six typed parent targets.
udt_cmb_G72_metric_screen_response_join_2026-08-11/EXACT_DERIVATION.md	SOURCE	DERIVED_CONDITIONAL_EVALUATOR	Metric owns response after a query/source type is supplied, not population.
udt_cmb_G73_global_sky_source_sensitivity_atlas_2026-08-11/EXACT_DERIVATION.md	PROFILE_SOURCE	INVERTIBLE_RELATION_RETAINS_SOURCE	Separates distortion from source erasure and physical selection.
udt_cmb_G73_global_sky_source_sensitivity_atlas_2026-08-11/TOPOLOGY_SCOPE_CORRECTION.md	PROFILE	GLOBAL_TOPOLOGY_SCOPE_GUARD	Prevents overgeneralizing the repeated-image critical-point condition.
udt_cmb_G75_center_regular_axial_profile_family_2026-08-11/EXACT_DERIVATION.md	PROFILE	BOUNDED_PROFILE_VOCABULARY	Defines the exact 49-ray and 591-profile family without a selector.
udt_cmb_G75_center_regular_axial_profile_family_2026-08-11/PROFILE_ATLAS.tsv	PROFILE	COMPLETE_FROZEN_FAMILY_CENSUS	Supplies all 591 control identities and premise labels.
udt_cmb_G76_complete_family_whole_sky_relation_atlas_2026-08-11/EXACT_DERIVATION.md	PROFILE_ENDPOINT	CONDITIONAL_WHOLE_SKY_EVALUATOR	Defines the chosen dimensionless observer/endpoint query and topology gates.
udt_cmb_G76_complete_family_whole_sky_relation_atlas_2026-08-11/WHOLE_SKY_RELATION_ATLAS.tsv	PROFILE	COMPLETE_FROZEN_RELATION_CENSUS	Shows all frozen profiles survive the sampled relation gates subject to G76 history.
udt_cmb_G76_complete_family_whole_sky_relation_atlas_2026-08-11/EXTERNAL_REVIEW_ADJUDICATION.md	PROFILE	IMMUTABLE_HISTORICAL_GRADE	Preserves the 587-plus-four G76 result.
udt_cmb_G77_full_family_direct_christoffel_replay_2026-08-11/EXACT_DERIVATION.md	PROFILE_ENDPOINT	DIRECT_METRIC_REPLAY	Supplies the complete direct-method finite-mesh equations and census.
udt_cmb_G77_full_family_direct_christoffel_replay_2026-08-11/DIRECT_CHRISTOFFEL_ATLAS.tsv	PROFILE	COMPLETE_DIRECT_CENSUS	Supplies 590 strong, one registered, zero unresolved rows.
udt_cmb_G77_full_family_direct_christoffel_replay_2026-08-11/PREMISE_LEDGER.tsv	ALL	CURRENT_CONTROL_TYPES	Separates c_E, R, endpoint, profile, source, and physical owners.
udt_cmb_G77_full_family_direct_christoffel_replay_2026-08-11/EXTERNAL_REVIEW_ADJUDICATION.md	PROFILE	EXTERNALLY_VERIFIED_NUMERICAL_GATE	Closes method ambiguity without promoting physical ownership.

