interaction_id	carrier_id	design_kind	direction_id	radius	halton_index	bank	point_id	target_mask	target_integer	ensemble_order	target_ensembles	subsets_used	subset_count	physical_interaction_claimed	slot_twojet_l2	slot_twojet_max_abs	slot_twojet_active	slot_twojet_status	metric_twojet_l2	metric_twojet_max_abs	metric_twojet_active	metric_twojet_status	riemann_l2	riemann_max_abs	riemann_active	riemann_status	weyl_l2	weyl_max_abs	weyl_active	weyl_status	ricci_l2	ricci_max_abs	ricci_active	ricci_status	scalar_l2	scalar_max_abs	scalar_active	scalar_status	shear_l2	shear_max_abs	shear_active	shear_status	twist_l2	twist_max_abs	twist_active	twist_status	phi_twojet_l2	phi_twojet_max_abs	phi_twojet_active	phi_twojet_status
R00_1_T1_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M1	1	1	BASE_BLOCK	M0;M1	2	NO	0.22022349024635057	0.08801331532438578	YES	NUMERIC_CLASSIFIED	0.2302176583448211	0.08801331532438578	YES	NUMERIC_CLASSIFIED	0.12028712320280908	0.023394317267404426	YES	NUMERIC_CLASSIFIED	0.08717036374860974	0.018125811008301025	YES	NUMERIC_CLASSIFIED	0.06129900811050165	0.0402876613069223	YES	NUMERIC_CLASSIFIED	0.010992427630951738	0.010992427630951738	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_T2_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M2	2	1	ANGULAR_SCREEN_BLOCK	M0;M2	2	NO	0.24863080464010592	0.08438781885567359	YES	NUMERIC_CLASSIFIED	0.2639188803360391	0.08438781885567359	YES	NUMERIC_CLASSIFIED	0.09874656143942624	0.019361950402055277	YES	NUMERIC_CLASSIFIED	0.05157237297765932	0.007986331659168917	YES	NUMERIC_CLASSIFIED	0.06405597721999914	0.029250358081949236	YES	NUMERIC_CLASSIFIED	0.07761143635081894	0.07761143635081894	YES	NUMERIC_CLASSIFIED	0.027461869783215468	0.021375461144525668	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_T3_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M3	3	2	BASE_BLOCK;ANGULAR_SCREEN_BLOCK	M0;M1;M2;M3	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.009916966545085485	0.002169909775514201	YES	NUMERIC_CLASSIFIED	0.003822496292477881	0.0006732427814968231	YES	NUMERIC_CLASSIFIED	0.005702320116672247	0.002813775070892012	YES	NUMERIC_CLASSIFIED	0.004494585806120166	0.004494585806120166	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_T4_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M4	4	1	SHIFT_CONNECTION_BLOCK	M0;M4	2	NO	0.13407634410805924	0.0375	YES	NUMERIC_CLASSIFIED	0.23865980999992145	0.048517465775737206	YES	NUMERIC_CLASSIFIED	0.15777275410171177	0.028927708017761213	YES	NUMERIC_CLASSIFIED	0.11143173671875403	0.024604410793290624	YES	NUMERIC_CLASSIFIED	0.08304420440979024	0.02862479226904218	YES	NUMERIC_CLASSIFIED	0.05413039134497826	0.05413039134497826	YES	NUMERIC_CLASSIFIED	0.054927196793535575	0.0375009115370499	YES	NUMERIC_CLASSIFIED	0.06425865970608337	0.04558333333333334	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_T5_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M5	5	2	BASE_BLOCK;SHIFT_CONNECTION_BLOCK	M0;M1;M4;M5	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.01353058372574072	0.0021843564984925443	YES	NUMERIC_CLASSIFIED	0.009921527765847095	0.0018708035646622686	YES	NUMERIC_CLASSIFIED	0.007054517160284276	0.002534423400469603	YES	NUMERIC_CLASSIFIED	0.0009846344132875273	0.0009846344132875273	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_T6_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M6	6	2	ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK	M0;M2;M4;M6	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.028293887645013734	0.005924236589795909	YES	NUMERIC_CLASSIFIED	0.018622534983571193	0.0040488876587644815	YES	NUMERIC_CLASSIFIED	0.012594904780641424	0.00224338005062524	YES	NUMERIC_CLASSIFIED	0.009827653378758064	0.004127713464765556	YES	NUMERIC_CLASSIFIED	0.009166062556777682	0.009166062556777682	YES	NUMERIC_CLASSIFIED	1.140836248210249e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_T7_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M7	7	3	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK	M0;M1;M2;M3;M4;M5;M6;M7	8	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	1.1773457174889801e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	6.70008057736614e-17	1.3877787807814457e-17	NO	NUMERIC_CLASSIFIED	7.057957468963116e-17	2.2551405187698492e-17	NO	NUMERIC_CLASSIFIED	2.8767134424180844e-17	1.3877787807814457e-17	NO	NUMERIC_CLASSIFIED	1.5612511283791264e-17	1.5612511283791264e-17	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_T8_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M8	8	1	PHI_FIELD	M0;M8	2	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.06843713885974956	0.029166666666666667	YES	NUMERIC_CLASSIFIED
R00_1_T9_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	M9	9	2	BASE_BLOCK;PHI_FIELD	M0;M1;M8;M9	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_TA_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	MA	10	2	ANGULAR_SCREEN_BLOCK;PHI_FIELD	M0;M2;M8;MA	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_TB_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	MB	11	3	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;PHI_FIELD	M0;M1;M2;M3;M8;M9;MA;MB	8	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	6.6905025879460435e-18	1.734723475976807e-18	NO	NUMERIC_CLASSIFIED	5.057544569639795e-18	1.734723475976807e-18	NO	NUMERIC_CLASSIFIED	7.191783606045211e-18	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_TC_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	MC	12	2	SHIFT_CONNECTION_BLOCK;PHI_FIELD	M0;M4;M8;MC	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_TD_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	MD	13	3	BASE_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	M0;M1;M4;M5;M8;M9;MC;MD	8	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	1.144025965704247e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	7.697071864121011e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	2.4532694666933987e-18	1.734723475976807e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R00_1_TE_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	ME	14	3	ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	M0;M2;M4;M6;M8;MA;MC;ME	8	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	1.3506913905390047e-17	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	9.669478820722694e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	7.83631449642983e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	4.982613841084488e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
