ensemble_id	ensemble_name	mask_bit	control_index	control_name	chart_role	physical_interpretation
E0	BASE_BLOCK	1	0	alpha_0	BASE_METRIC_LATENT	NONE
E0	BASE_BLOCK	1	1	alpha_1	BASE_METRIC_LATENT	NONE
E0	BASE_BLOCK	1	2	alpha_2	BASE_METRIC_LATENT	NONE
E1	ANGULAR_SCREEN_BLOCK	2	3	alpha_3	ANGULAR_SCREEN_LATENT	NONE
E1	ANGULAR_SCREEN_BLOCK	2	4	alpha_4	ANGULAR_SCREEN_LATENT	NONE
E1	ANGULAR_SCREEN_BLOCK	2	5	alpha_5	ANGULAR_SCREEN_LATENT	NONE
E2	SHIFT_CONNECTION_BLOCK	4	6	alpha_6	BASE_SCREEN_SHIFT	NONE
E2	SHIFT_CONNECTION_BLOCK	4	7	alpha_7	BASE_SCREEN_SHIFT	NONE
E2	SHIFT_CONNECTION_BLOCK	4	8	alpha_8	BASE_SCREEN_SHIFT	NONE
E2	SHIFT_CONNECTION_BLOCK	4	9	alpha_9	BASE_SCREEN_SHIFT	NONE
E3	PHI_FIELD	8	10	beta	INDEPENDENT_SIGNED_PHI	NONE
