mask_id	mask_integer	ensemble_order	selected_ensembles	geometry_class	records	retained	physical_merit
M0	0	0	EMPTY	R0_K0_S0_T0_M0	384	YES	NOT_EVALUATED
M1	1	1	BASE_BLOCK	R4_K5_S0_T0_M1	1	YES	NOT_EVALUATED
M1	1	1	BASE_BLOCK	R4_K6_S0_T0_M1	383	YES	NOT_EVALUATED
M2	2	1	ANGULAR_SCREEN_BLOCK	R4_K6_S2_T0_M1	384	YES	NOT_EVALUATED
M3	3	2	BASE_BLOCK;ANGULAR_SCREEN_BLOCK	R4_K6_S2_T0_M1	384	YES	NOT_EVALUATED
M4	4	1	SHIFT_CONNECTION_BLOCK	R4_K6_S2_T1_M1	384	YES	NOT_EVALUATED
M5	5	2	BASE_BLOCK;SHIFT_CONNECTION_BLOCK	R4_K6_S2_T1_M1	384	YES	NOT_EVALUATED
M6	6	2	ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK	R4_K6_S2_T1_M1	384	YES	NOT_EVALUATED
M7	7	3	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK	R4_K6_S2_T1_M1	384	YES	NOT_EVALUATED
M8	8	1	PHI_FIELD	R0_K0_S0_T0_M0	384	YES	NOT_EVALUATED
M9	9	2	BASE_BLOCK;PHI_FIELD	R4_K5_S0_T0_M1	1	YES	NOT_EVALUATED
M9	9	2	BASE_BLOCK;PHI_FIELD	R4_K6_S0_T0_M1	383	YES	NOT_EVALUATED
MA	10	2	ANGULAR_SCREEN_BLOCK;PHI_FIELD	R4_K6_S2_T0_M1	384	YES	NOT_EVALUATED
MB	11	3	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;PHI_FIELD	R4_K6_S2_T0_M1	384	YES	NOT_EVALUATED
MC	12	2	SHIFT_CONNECTION_BLOCK;PHI_FIELD	R4_K6_S2_T1_M1	384	YES	NOT_EVALUATED
MD	13	3	BASE_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	R4_K6_S2_T1_M1	384	YES	NOT_EVALUATED
ME	14	3	ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	R4_K6_S2_T1_M1	384	YES	NOT_EVALUATED
MF	15	4	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	R4_K6_S2_T1_M1	384	YES	NOT_EVALUATED
