target_mask	target_integer	ensemble_order	target_ensembles	payload	vectors	components	span_rank	max_possible_rank	largest_singular	min_retained_singular	max_discarded_singular	rank_status	rank_threshold	coordinate_chart_diagnostic	physical_dof_claimed
M1	1	1	BASE_BLOCK	slot_twojet	384	210	45	210	4.614842858314187	0.0019923445607039725	1.8121399903732187e-15	NUMERIC_CLASSIFIED	1e-09	YES	NO
M1	1	1	BASE_BLOCK	metric_twojet	384	336	45	336	4.6374950344150445	0.002816212173058012	2.07953078922069e-15	NUMERIC_CLASSIFIED	1e-09	YES	NO
M1	1	1	BASE_BLOCK	riemann	384	256	15	256	2.8031588460937917	0.09936214656710686	2.442130718948717e-15	NUMERIC_CLASSIFIED	1e-09	YES	NO
M1	1	1	BASE_BLOCK	weyl	384	256	20	256	2.419936712258892	0.0018445058109049016	1.436809083296897e-15	NUMERIC_CLASSIFIED	1e-09	YES	NO
M1	1	1	BASE_BLOCK	ricci	384	16	10	16	1.81946506888898	0.13889482536050582	2.3943315370402874e-16	NUMERIC_CLASSIFIED	1e-09	YES	NO
M1	1	1	BASE_BLOCK	scalar	384	1	1	1	2.1072905017557853	2.1072905017557853	0.0	NUMERIC_CLASSIFIED	1e-09	YES	NO
M1	1	1	BASE_BLOCK	shear	384	6	0	6	0.0	0.0	0.0	NUMERIC_CLASSIFIED	1e-09	YES	NO
M1	1	1	BASE_BLOCK	twist	384	2	0	2	0.0	0.0	0.0	NUMERIC_CLASSIFIED	1e-09	YES	NO
M1	1	1	BASE_BLOCK	phi_twojet	384	21	0	21	0.0	0.0	0.0	NUMERIC_CLASSIFIED	1e-09	YES	NO
M2	2	1	ANGULAR_SCREEN_BLOCK	slot_twojet	384	210	45	210	5.255497407227505	0.004162207792053472	2.765429955574382e-15	NUMERIC_CLASSIFIED	1e-09	YES	NO
M2	2	1	ANGULAR_SCREEN_BLOCK	metric_twojet	384	336	45	336	5.358309868848088	0.00439529216204217	4.2200056520039115e-15	NUMERIC_CLASSIFIED	1e-09	YES	NO
M2	2	1	ANGULAR_SCREEN_BLOCK	riemann	384	256	15	256	3.353675719272826	0.20217333579381525	2.5106671706661492e-15	NUMERIC_CLASSIFIED	1e-09	YES	NO
M2	2	1	ANGULAR_SCREEN_BLOCK	weyl	384	256	20	256	2.3945902931901535	0.002742157453687864	1.876988610972756e-15	NUMERIC_CLASSIFIED	1e-09	YES	NO
M2	2	1	ANGULAR_SCREEN_BLOCK	ricci	384	16	10	16	2.332337810657059	0.28061356215517586	3.3188298511649024e-16	NUMERIC_CLASSIFIED	1e-09	YES	NO
M2	2	1	ANGULAR_SCREEN_BLOCK	scalar	384	1	1	1	3.7208851711289945	3.7208851711289945	0.0	NUMERIC_CLASSIFIED	1e-09	YES	NO
M2	2	1	ANGULAR_SCREEN_BLOCK	shear	384	6	6	6	1.7225837960863075	0.04153458684034996	0.0	NUMERIC_CLASSIFIED	1e-09	YES	NO
M2	2	1	ANGULAR_SCREEN_BLOCK	twist	384	2	0	2	0.0	0.0	0.0	NUMERIC_CLASSIFIED	1e-09	YES	NO
