mask_id	mask_integer	bits_E0_E1_E2_E3	ensemble_order	selected_ensembles	is_empty	is_full	physical_merit
M0	0	0000	0	EMPTY	YES	NO	NOT_EVALUATED
M1	1	1000	1	BASE_BLOCK	NO	NO	NOT_EVALUATED
M2	2	0100	1	ANGULAR_SCREEN_BLOCK	NO	NO	NOT_EVALUATED
M3	3	1100	2	BASE_BLOCK;ANGULAR_SCREEN_BLOCK	NO	NO	NOT_EVALUATED
M4	4	0010	1	SHIFT_CONNECTION_BLOCK	NO	NO	NOT_EVALUATED
M5	5	1010	2	BASE_BLOCK;SHIFT_CONNECTION_BLOCK	NO	NO	NOT_EVALUATED
M6	6	0110	2	ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK	NO	NO	NOT_EVALUATED
M7	7	1110	3	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK	NO	NO	NOT_EVALUATED
M8	8	0001	1	PHI_FIELD	NO	NO	NOT_EVALUATED
M9	9	1001	2	BASE_BLOCK;PHI_FIELD	NO	NO	NOT_EVALUATED
MA	10	0101	2	ANGULAR_SCREEN_BLOCK;PHI_FIELD	NO	NO	NOT_EVALUATED
MB	11	1101	3	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;PHI_FIELD	NO	NO	NOT_EVALUATED
MC	12	0011	2	SHIFT_CONNECTION_BLOCK;PHI_FIELD	NO	NO	NOT_EVALUATED
MD	13	1011	3	BASE_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	NO	NO	NOT_EVALUATED
ME	14	0111	3	ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	NO	NO	NOT_EVALUATED
MF	15	1111	4	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	NO	YES	NOT_EVALUATED
