id	failure_mode	present
A01	action EOM or residual filter	ABSENT
A02	ensemble named as matter source force or mechanism	ABSENT
A03	Mobius term called physical interaction energy or coupling	ABSENT
A04	phi called metric source	ABSENT
A05	particle GR cosmology or boundary merit target	ABSENT
A06	rank or class used as acceptance filter	ABSENT
A07	duplicate or uncertain record discarded	ABSENT
A08	coordinate dependence called evolution	ABSENT
A09	finite carrier design called generic dense or exhaustive	ABSENT
A10	physical representative scale topology or carrier selected	ABSENT
A11	full metric sector removed with an amplitude mask	ABSENT
A12	unexpected interaction pattern treated as failure	ABSENT
