row	candidate	posture/regime	census	pairing	chain_vs_single	perturbation_space(provenance)	operator_form	verdict	witness/zero_modes	stamps_conditions
R01	S-iii control: E0=0 constants member	any	constants(BASE)	all enumerated	single	fields+full moduli, joint	W0*(SOS of first jets)	PSD-degenerate; CONTROL PASS	kernel = 0-jet shifts + mu + k_mod/k10/C = banked flat directions (exact)	F-S5 satisfied; definite class
R02	S-iii control: triad-locked massless	crease/any	fields(BR-M)	P1-triad a_F(0)=1	single	fields + odd lambda(x),k_mod(x) joint	SOS of first jets	PSD-degenerate; CONTROL PASS	kernel = constants + ARBITRARY odd v_lam,v_kmod (infinite-dim, = banked free directions)	F-S5 satisfied
R03	S-i massive {I_p=0,E0>0}	double-crease (pure quotient)	constants(BASE)	P1 (a_F!=0), symbolic	single	n/a	n/a	EMPTY-DOMAIN (exact: wall traces force I_p!=0)	SB2	no period-gate contradiction (periods vs traces); definite class; EMPTY TOTAL both E0 signs (verifier closed the E0<0 leg: disc<0 & w>0 => A>0; credited check)
R04	S-i massive	single-cell cyclic	constants(BASE)	P1	single	n/a	n/a	EMPTY (banked C2d, cited)	—	guard row
R05	S-i massive, certified crease branch	crease|glue chain (and crease|open single cell), supplied f/bh wall data FREE, germ-Hessian-flat realized wall response (banked witnesses B=0, (q/2)rho)	constants(BASE)	P1, a_F symbolic	both	joint (v_p,v_f,v_h,mu); v_p(crease)=0; fh traces free	reduced SL: L=-gp(wv')'-aF^2 sigma v/w; exact basis v1=w'/w, v2=E0-sigma/w	UNSTABLE OS-2: n-=1 EXACT (reduced sector)	negative mode = v2-built, carries angular wall flux; zero modes: f/h shifts, vacuous moduli	s=sqrt(2A) in (1,3) banked interval; ell=1 CHOSE; Category-A: domain monotonicity+oscillation (sanctioned Sturm); joint space (fields+mu): index >= 1 exact, exactly-1 pending lambda-Schur sign (verifier joint hunt supports exactly-1 — corroboration, not banked)
R06	S-i massive, certified crease branch	same postures, supplied f/bh parity ODD (zero angular traces)	constants(BASE)	P1	both	joint; fh zero-trace => exact rank-one penalty tau=aF^2 sigma/J	penalized L + tau g(x)g(y), g=1/w	core POSITIVE (n-=0 exact: crossing scalar -2/(J(s-1))<0 manifest, J cancels); overall OS-5	index-absorption: the odd fh pin exactly absorbs the unique negative direction	obstruction named: free wall-germ curvature + dilogarithmic lambda-Schur at transcendental A*
R07	S-i massive, general {I_p=0} member	open-open / non-crease	constants(BASE)	P1	single	joint; traces per posture	same L; count = zeros of (v1,v2)-combination (closed-form criterion recorded)	OS-5 member-conditional	criterion exact; no certified witness off the crease branch	transcendental member loci
R08	S-i lambda sector	any massive member	constants(BASE)	P1	both	mu jointly with fields	C=aFp^2 E0 int pbar^2>0; B(v2-pair)=aFp E0 int v2 (<0 crease-normalized, strict)	structure rows (feed R05/R06)	B-cancellation exact pointwise	I_p=0 used; SC4/SC5
R09	S-ii massive landing (no-m-jet class)	any (witness is all-traces-zero => germ-independent)	fields(BR-M)	P1-4D landing a_F(0)=0, W==1	single	joint (v_p, v_f, v_h, odd v_lam(x)); k_mod flat	gp vp'^2+G-block+4E0 v_lam v_p (NO lambda diagonal)	UNSTABLE OS-2 unconditional, every E0!=0 member	exact witness sin(pi x/l), t=gp pi^2/(2E0 l^2): Q=-gp pi^2/l	AM-1/AM-2/free-wall-data/p0==0-OPEN conditionalities of the CLASS travel; both signs of E0
R10	S-ii jet-quadratic sub-class (c_m lam'^2/2)	any	fields(BR-M)	P1-4D landing	single	same + v_lam' content	per-mode 2x2 blocks, k_n=n pi/(2l)	OS-4 EXACT DICHOTOMY: stable iff 64 E0^2 l^4 <= gp c_m pi^4	threshold at n=1 mode	Parseval Category-A; c_m>0; c_m<=0 unstable
R11	NV-cell members	all	all	all	both	n/a (no generating functional; no dynamics adopted)	n/a	UNDEFINED-AT-LAYER (F-S4)	—	typed honestly
R12	out-of-scope	all	all	all	both	N=4 wall layer; corners; resonance cells; 4th-order class; carriers; time-live; P2-side massive affine members	n/a	TYPED/OUT	—	not adjudicated
