anchor_id	path	routes	required_text	ruling	sha256
A01	udt_joint_selector_provenance_audit_2026-07-28/AUDIT_REPORT.md	E04;E08	NO_REGISTERED_JOINT_OPERATION_THREE_GAPS_RETAINED	No registered joint selector or native on-shell realization law exists in its complete fixed-tree census.	2bf4dabd1f27c6c3399090c0a058fdf5addbe0aaec05b07a78348d5fad81b01d
A02	udt_metric_natural_joint_selector_nogo_2026-07-28/AUDIT_REPORT.md	E04;E08	NO_GO_PREMISES_INSUFFICIENT_STOP	Exact frame/pointwise obstructions are bounded; higher-jet, nonlocal, set-valued, and whole-solution routes remain unclassified.	5675336453e46c171ecabd3fd818d040f3fe0e47ca0d055a4f7665a8f3b222e3
A03	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	E01;E02;E04;E05	It selects no physical branch or UDT dynamics.	The full stationary GL(2,R) screen and exact Cartan system are off-shell configuration geometry, not selection.	3d6cab420d4cb20dc0042c4ccce88a4d0b13d0c75572cc78a47daa04be87297f
A04	udt_general_screen_dependency_regrade_2026-07-28/CORRECTION_LAYER.md	E04;E05	selected full extension	Available screen modes do not select the complete full-frame response or dynamics.	9eb0e1ce4b1fc3762de610ab76e59310a7ce2e17efaf52604a53eb1664d0ce7e
A05	udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	E01;E02;E03;E05;B01;B02	ZERO_COMPLETE_NATIVE_COFRAME_RESPONSE_RANK	Founded kinematics and identities contribute zero selected native response rank; the current correction scopes this as zero selected rank.	c36a7afe4e18c700c4fb9184a3086f3cc55c3c77a941221c5d5476b63b007778
A06	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md	E06;B04	No complete bootstrap-to-local response map is derived	The two-arrow bootstrap architecture is typed, but both maps, domain, derivative, pairing, and fixed point are absent.	38b697ee11a2873b8ff8bd9ba4f9940d98a70c2053a6e4440d4b925c491fa92e
A07	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EXACT_DERIVATION.md	E06	No one of these is promoted to a new field equation here.	The clock/angular closure families are invariant availability tests, not field equations.	af29ba9a48392e3797e2338e7e22af0f1e02488aabdfafdceff82e176e4af2a7
A08	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	E07;B03	The complete action, native source law, differentiable finite-cell boundary action	C2/Bach is unique-conditional, EH and S2 are conditional, and the complete action/source/boundary charge remain open.	71ed06c21c3ef683d0579f2a883584b4f612de4f1b09e16300702b204d437eda
A09	native_boundary_generator_scale_audit_2026-07-19/CHARGE_REQUIREMENT_LEDGER.tsv	B03;B06	Differentiable boundary/corner primitive	The primitive, normalization, generator, reference, integrability, and time-live conservation remain open.	3b522b337433c0935e23d789aa76367a575a5cc2cbb69f35d0c06a099d0663dd
A10	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	B01;B02;B06	not derived to be the hard end of spacetime	The WR-L wall is an exact bounded metric horizon candidate, not a selected terminal or differentiable global boundary.	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d
A11	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	E05;B01;B02;B05	TWO_STAGE_OPEN_GATE_CHAIN	Toric S3/Hopf closure is unique only after unselected spatial-torus and cap premises; multiple completions remain.	d39b40f919c4f1b23b7785c2d5ce0b3cb325620eea7463eff4182082d2211f90
A12	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	E05;E06;B02;B04;B06	SELECTOR_NOT_FOUND_IN_CURRENT_FOUNDATION	Current boundary/bootstrap data supply neither an off-shell representative map nor a selector equation.	5b9fd3563e02ecd8907e0ac632412e3bb1784893c1a66ff2812724f23c71d25d
A13	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	B05	SECTION_AND_BOUNDARY_SELECTOR_OPEN	The null-direction S2 is a conditional fiber and the carrier section, action, transport, and physical boundary remain open.	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea
A14	udt_joint_realization_closure_audit_2026-08-01/AUDIT_REPORT.md	E08;B06	FORMAL_COMPATIBILITY_ONLY_COMMON_REALIZATION_OPEN	The exact registered static and formal live modules do not supply one native whole problem or common nonzero-live solution.	9fa6113a0546c4ac8a36cb19d5352a9dfe8f67bb3b90df7574b88e08727a20e4
