premise_id	object	status	provenance	use_in_program	forbidden_promotion
JRC-P01	founded phi additive logarithmic reciprocal depth	DERIVED	CURRENT_SCIENTIFIC_PREMISES G01-G03 and founded-phi audit	owned scalar/coframe channel	arbitrary placeholder or independently chosen carrier
JRC-P02	reciprocal clock/ruler pair action diag(-1,+1)	DERIVED	current premise controller and coframe audits	base response structure	complete 4D response or dynamics
JRC-P03	c_E and G_obs	OBSERVED_ANCHORS	owner/current premise controller	dimensional calibration only	equation action boundary or bootstrap selector
JRC-P04	the metric is the theory	BINDING_METHOD	AGENTS.md	all affirmative physics must trace to metric	metric configuration called an equation without derivation
JRC-P05	complete coframe extension/global existence	DERIVED_EXISTENCE_CLASSES	founded-phi and native-global-coframe audits	admitted off-shell configuration families	realized branch or equation of motion
JRC-P06	complete 4D response selection	OPEN	current premise controller	all extension/mixing branches retained	chosen spectator or lambda branch
JRC-P07	strong local CSN	INACTIVE_CHALLENGED	current premise controller	cannot remove physical scale or select conformal representative	Weyl invariance assumption
JRC-P08	finite-cell structure and static phi seal parity	WORKING_PLUS_BINDING_SCOPED	current premise controller and action ledger	candidate global domain; phi=0 static seal statement	complete all-field differentiable boundary
JRC-P09	completion topology/posture/gluing	OPEN_CENSUS	finite-cell and P4 completion records	all registered completion families retained	preferred cap seam mirror quotient or posture
JRC-P10	Cartan structure and Bianchi relations	MATHEMATICAL_IDENTITIES	differential geometry of a supplied coframe	candidate consistency routes only	dynamics unless a field-family reduction is proved
JRC-P11	complete native equation/response	OPEN	joint-realization audit and native-action adjudication	Stage-1 target	conditional/reduced operator called native
JRC-P12	complete differentiable finite-cell boundary/corner operation	OPEN	joint-realization and native-action audits	Stage-2 target	seal value regularity or solver wall called complete
JRC-P13	bootstrap two-arrow architecture	DERIVED_CONDITIONAL_RESPONSE_SKELETON	bootstrap response audits	candidate route E06/B04	maps fixed point optimizer or equation
JRC-P14	bootstrap physical implementation	WORKING_OPEN	current premise controller	global-local lens retained	invented density equality objective or coupling
JRC-P15	conditional C2/Bach and EH branches	CONDITIONAL_OR_UNIQUE_CONDITIONAL	native-action final adjudication	candidate route E07/B03 only	native UDT equation or preferred derivative order
JRC-P16	round S2 carrier and L2+L4	POSIT_CONDITIONAL	native Hopfion topology/current premise controller	candidate route B05 only	native carrier source or boundary
JRC-P17	P4 static/time/angular architecture	STATIC_SOLUTIONS_PLUS_FORMAL_LIVE_MODULES	P4 packages cold review joint-realization audit	restriction tests only	one common nonzero live on-shell solution
JRC-P18	JR_CERT_NATIVE	DEFINED_EVIDENCE_SCHEMA	joint-realization audit	Stage-4 proof bundle	new field law selector or postulate
JRC-P19	nonzero time-live and angular-live content	CHOSE_AUDIT_GATE	owner-authorized enumerated program and parent preregistration	must hold on same Stage-3 witness	mode-zero or separate-field substitution
JRC-P20	computation policy	CPU_ONLY_CONDITIONAL	owner authorization and AGENTS.md	Stage 3 may launch only after native problem closes	GPU T4 or solve-before-equation
