route_id	stage	route	admission_question	pass_requirement	forbidden_shortcut
E01	EQUATION	CARTAN_STRUCTURE_RELATIONS	Do coframe structure relations reduce the admitted full-field family to a native zero set?	nonidentity complete-field operator with native ownership	definitions of connection/torsion/curvature called dynamics
E02	EQUATION	LEVI_CIVITA_COMPATIBILITY	Does metric compatibility/torsion-free reconstruction select realized full metrics rather than reconstruct a connection for each metric?	proper subset of admitted configurations plus complete scope	nabla_g=0 called field equation
E03	EQUATION	BIANCHI_INTEGRABILITY	Do differential identities impose an independent whole-field condition in the admitted domain?	nonvacuous integrability obstruction not automatically true	D curvature=0 identity called EOM
E04	EQUATION	RECIPROCAL_EQUIVARIANCE	Do Reciprocity/frame/coframe composition laws select a unique realized full response?	complete static-time-angular operator and zero set	kinematic covariance or group law called dynamics
E05	EQUATION	FINITE_CELL_GLOBAL_COMPATIBILITY	Do smoothness holonomy and gluing requirements determine a whole-system local/global equation?	operator covering interior and global joins without chosen completion	regularity or topology census called evolution
E06	EQUATION	BOOTSTRAP_CLOSURE	Are both global-to-local and local-to-global maps derived and solved as one native response?	explicit maps domains derivatives and common fixed-point problem	type skeleton or density window called equation
E07	EQUATION	ACTION_MEDIATED_CONDITIONAL	Does any registered action route become unconditional from the current premises?	all action class premises and fields derived plus full variation	C2 Bach EH or carrier branch promoted
E08	EQUATION	OTHER_REGISTERED_WHOLE_SOLUTION	Does any other frozen source explicitly supply a native complete operation?	exact source equation domain provenance and full-sector closure	assembling clauses from different records
B01	BOUNDARY	STATIC_SEAL_PARITY	Does the binding static phi seal rule determine the differentiable all-field boundary problem?	matching all-field variation and flux/corner closure	phi=0 or free normal derivative called complete boundary
B02	BOUNDARY	REGULARITY_CAP_SEAM_GLUE	Do registered regularity/cap/seam/mirror/quotient data select one complete differentiable completion?	selected or theorem-exhausted completion with compatible operator	catalogue or smoothness called selection
B03	BOUNDARY	CONDITIONAL_ACTION_BOUNDARY	Does a registered conditional action supply an unconditional matching boundary operation?	native action plus exact boundary/corner variation	GHY Bach or carrier wall imported/promoted
B04	BOUNDARY	BOOTSTRAP_MOVING_BOUNDARY	Does bootstrap derive moving-boundary corner gluing and global-modulus variation?	explicit global response maps including boundary derivative	typed shape channel called boundary equation
B05	BOUNDARY	CARRIER_TOPOLOGY_BOUNDARY	Does carrier/topology structure derive the physical finite-cell boundary for the whole metric?	native carrier plus metric/source/time boundary completion	solver pinned exterior or constant boundary promoted
B06	BOUNDARY	OTHER_REGISTERED_BOUNDARY	Does any other frozen source supply a complete differentiable finite-cell boundary operation?	exact source operation same fields/equation/premises	splicing wall traces parity and gluing types
