package_path	route_cells	reason
udt_joint_selector_provenance_audit_2026-07-28	E04;E08	repository-wide registered joint-operation census and exact obligation matrix
udt_metric_natural_joint_selector_nogo_2026-07-28	E04;E08	bounded metric-natural selector obstruction and explicit escape routes
udt_general_screen_complete_cell_atlas_2026-07-28	E01;E02;E04;E05	complete-cell Cartan/coframe response and global-completion evidence
udt_higher_isometry_plane_ownership_audit_2026-07-28	E04;E05	plane-ownership strata and limits of pointwise symmetry selection
udt_general_screen_dependency_regrade_2026-07-28	E01;E02;E04;E05	current dependency correction for general-screen claims
udt_complete_screen_response_branch_atlas_2026-07-28	E01;E02;E04;E05	complete branch-response and invariant/holonomy atlases
udt_global_functional_dof_constraint_rank_audit_2026-07-26	E01;E02;E03;E05	variation-domain and constraint-rank evidence
native_boundary_generator_scale_audit_2026-07-19	B01;B02;B03;B04;B06	boundary generator, charge, and scale-closure audit
asymptotic_boundary_lineage_audit_2026-07-19	B01;B02;B04;B06	finite-cell/asymptotic boundary object lineage
angular_toric_closure_selector_2026-07-19	E05;B02;B05	angular/toric completion selector audit
