path	sha256	parent_read_depth	reviewer_read_depth	role
.claude/skills/completeness-map/SKILL.md	a8cf9e5f4a6d35a0d0ebfe4bc48dbf328ca74e318f020a6a22cb683666a611c0	full triggered method protocol; no scientific premise supplied	triggered protocol read at scoped startup; method, not scientific premise; attribution: review/SOURCE_FIRST_ASSESSMENT.md	METHOD_OR_SCOPE
.claude/skills/no-shortcuts/SKILL.md	fd3a1f3218481134f2af829d3ae4175ac53518f75bf9673287efbfb7d7708fc1	full triggered method protocol; no scientific premise supplied	triggered protocol read at scoped startup; method, not scientific premise; attribution: review/SOURCE_FIRST_ASSESSMENT.md	METHOD_OR_SCOPE
.claude/skills/verifier-before-record/SKILL.md	9b3a4aacd4b4006b2b7f01edada73b7c87b99bea6e754583558713bfc145e5ac	full triggered method protocol; no scientific premise supplied	triggered protocol read at scoped startup; method, not scientific premise; attribution: review/SOURCE_FIRST_ASSESSMENT.md	METHOD_OR_SCOPE
AGENTS.md	c11d94f25bf58bf3d1cee6fb6bc886ebfac2d7581f5b794244685019bc00d628	full current method authority reread for CWA1; not scientific evidence	scoped startup method authority read; parent top-level startup attributed; attribution: review/SOURCE_FIRST_ASSESSMENT.md	METHOD_OR_SCOPE
CLAUDE.md	b7e524a5b06760e57877a408630228767ae9a394134095f9851bef5d06e17751	How we work, DRIVER TRIGGERS and repository discipline only; method authority	required How we work, DRIVER TRIGGERS and repository-discipline sections read at scoped startup; attribution: review/SOURCE_FIRST_ASSESSMENT.md	METHOD_OR_SCOPE
CROSS_MODEL_VERIFY.md	2b0509d933d731fbf3f72aa88777a54d3e48a94d4bae3d324087871777f9a007	triggered scoped synthesis/review protocol; method authority	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	METHOD_OR_SCOPE
CURRENT_SCIENTIFIC_PREMISES.md	7d63e27a32ce19f063e76b8aa9a861039ee5a6d89bbb1536d30e063a889628c3	full compact current scope; exact source grades remain controlling	compact current-premise orientation read; no source-proof census; attribution: review/SOURCE_FIRST_ASSESSMENT.md	METHOD_OR_SCOPE
CURRENT_SCIENTIFIC_PREMISES.tsv	2c27fa4b8931672c44b4d778aab0f2a2631c04a5c586358340db1dc763b74f7e	397 rows processed without wide-row dump; selected load-bearing rows inspected; actual new full verifier PASS	selected exact load-bearing registry rows and machine metadata; no wide whole-ledger proof review; attribution: review/SOURCE_FIRST_ASSESSMENT.md	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
UDT_METRIC_KERNEL_DEVELOPMENT.md	3b625d8f43620a37c99d9f4f0fdc9390c3a12306b1da87281c143ce84d40a81e	fixed-snapshot scope/pointer only; manuscript arguments not reopened	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	METHOD_OR_SCOPE
founding.md	b4b0d9a9fdd093c992647195aca7579566a9e77a396071a699c1938888a49e75	W5/W6 and observed-anchor sections212--267; historical other sections not read as current status	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
