axis	coverage	remaining_open
complete_metric	GENERAL_NONBLOCK_G_WITH_SUPPLIED_RECIPROCAL_ANGULAR_SPLIT	universal_split_selection
orthogonal_angular_metric	EXACT_SCHUR_COMPLEMENT_Q_MINUS_CT_HINV_C	rank_loss_and_unsupplied_split
signature_and_determinant	EXACT_CONGRUENCE_AND_SCHUR_IDENTITIES	none_within_regular_split
depth_parameter	T_PHI_EQUALS_ONE_WHERE_DPHI_NONZERO	critical_phi_and_global_cover
relative_area	EXACT_FULL_CSN_INVARIANT_DIAGNOSTIC	native_bulk_value_equation
shape_speed	EXACT_TRACEFREE_STRAIN_DIAGNOSTIC	native_unit_normalization
finite_cell	ENDPOINT_JETS_THROUGH_SECOND_ORDER_PLUS_BULK_COUNTERFAMILY	complete_onshell_profiles
mirror_seal	ALL_FOUR_REGISTERED_INVOLUTIVE_LIFT_TYPES	unique_lift_and_bulk_propagation
caps_topology_monodromy	REGISTERED_CONSTRAINTS_AND_PRIOR_CENSUS	branch_selector
selector_sources	ALL_11_PREREGISTERED_SOURCES	unregistered_native_dynamics
c_anchor	EXPLICIT_IN_H_AND_COMPLETE_DETERMINANT	does_not_fix_dimensionless_rates
transport	POINTWISE_DIAGNOSTIC_ONLY	persistent_eigenbundle_transport
complete_onshell_branches	ZERO	OPEN
action_source_carrier	NOT_USED	OPEN
GPU	NONE	NOT_AUTHORIZED_OR_NEEDED
