selector_id	selector	area_ruling	shape_ruling	joint_ruling	exact_reason	countercontrol
S01	COMPLETE_METRIC_ALGEBRA	DOES_NOT_DERIVE	DOES_NOT_DERIVE	DOES_NOT_DERIVE	Schur_complement_allows_arbitrary_positive_q_and_nonzero_C	E02_E03_E04_E06
S02	RECIPROCAL_CHARACTER	DOES_NOT_DERIVE	DOES_NOT_DERIVE	DOES_NOT_DERIVE	fixes_h_generator_diag_minus1_plus1_and_phi_scale_not_q	E02_E03_E04
S03	COMMON_SCALE_NEUTRALITY	DOES_NOT_DERIVE	DOES_NOT_DERIVE	DOES_NOT_DERIVE	makes_both_diagnostics_full_conformal_invariants_without_fixing_their_values	FULL_CSN_REPLAY
S04	FINITE_CELL	DOES_NOT_DERIVE	DOES_NOT_DERIVE	DOES_NOT_DERIVE	endpoint_flat_three_knob_family_preserves_second_jets	E02_E03_E04_E05
S05	SEAL_LIFTS	DERIVES_AT_FIXED_SEAL_ONLY	CONSTRAINS_NOT_FIXES	DOES_NOT_DERIVE	mirror_antiinvariance_forces_trace_angular_jet_zero_but_leaves_zero_or_one_free_shape_amplitude	MIRROR_LIFT_ATLAS
S06	CAP_REGULARITY_TOPOLOGY	CONSTRAINS_NOT_FIXES	CONSTRAINS_NOT_FIXES	DOES_NOT_DERIVE	cap_jets_and_cycle_arithmetic_leave_endpoint_flat_interior_deformations_and_q_loses_rank_at_cap	E02_E03_E04_PLUS_RANK_LOSS
S07	MONODROMY	CONSTRAINS_NOT_FIXES	CONSTRAINS_NOT_FIXES	DOES_NOT_DERIVE	descent_restricts_glue_and_eigenlines_not_local_rate_amplitude_and_real_phi_has_S1_critical_point	GENERAL_GL2Z_NORMALIZER_AUDIT
S08	CARTAN_BIANCHI	DOES_NOT_DERIVE	DOES_NOT_DERIVE	DOES_NOT_DERIVE	Levi_Civita_and_Bianchi_hold_for_every_smooth_countermetric	E05_E06
S09	BOOTSTRAP	NOT_AN_EQUATION	NOT_AN_EQUATION	NOT_AN_EQUATION	current_bootstrap_is_onshell_admissibility_without_response_map_functional_or_normal_equation	SOURCE_AUDIT
S10	C_ANCHOR	DOES_NOT_DERIVE	DOES_NOT_DERIVE	DOES_NOT_DERIVE	c_remains_in_h_and_detG_but_cancels_from_dimensionless_rate_values	C_SYMBOLIC_AND_2_3_299792458
S11	COMPLETION_CROSSCHECK	DOES_NOT_DERIVE	DOES_NOT_DERIVE	DOES_NOT_DERIVE	all_12_families_are_parametric_and_zero_force_full_pair	PRIOR_12_ROW_CENSUS
