selector_id	selector_object	required_scope
S01	COMPLETE_METRIC_ALGEBRA	general_nonblock_regular_2plus2_split
S02	RECIPROCAL_CHARACTER	founded_h_reciprocal_determinant_and_phi_normalization
S03	COMMON_SCALE_NEUTRALITY	full_metric_local_conformal_orbit
S04	FINITE_CELL	finite_interval_endpoints_and_seal
S05	SEAL_LIFTS	plus_I_minus_I_axis_reflection_axis_exchange
S06	CAP_REGULARITY_TOPOLOGY	primitive_nonprimitive_and_rank_drop_endpoints
S07	MONODROMY	GL2Z_periodic_and_orientation_reversing_glue
S08	CARTAN_BIANCHI	Levi_Civita_curvature_and_differential_identities
S09	BOOTSTRAP	current_owner_registered_onshell_principle
S10	C_ANCHOR	explicit_clock_ruler_conversion
S11	COMPLETION_CROSSCHECK	all_twelve_registered_completion_families
