catch_id	mutation	status
C01	raw_Q_used	CAUGHT
C02	determinant_proof_removed	CAUGHT
C03	cross_terms_dropped	CAUGHT
C04	angular_relative_scale_erased	CAUGHT
C05	c_set_to_one	CAUGHT
C06	seal_local_promoted_global	CAUGHT
C07	mirror_amplitude_fixed	CAUGHT
C08	general_monodromy_dropped	CAUGHT
C09	cap_topology_used_as_equation	CAUGHT
C10	Bianchi_used_as_selector	CAUGHT
C11	bootstrap_invented_equation	CAUGHT
C12	endpoint_second_jets_changed	CAUGHT
C13	deformation_knobs_correlated	CAUGHT
C14	critical_phi_assigned_value	CAUGHT
C15	pointwise_promoted_transport	CAUGHT
C16	FC12_selected	CAUGHT
C17	external_action_imported	CAUGHT
C18	scope_expanded_to_no_go	CAUGHT
C19	full_CSN_covariance_lost	CAUGHT
C20	shape_CSN_invariance_lost	CAUGHT
C21	nonblock_signature_unchecked	CAUGHT
C22	selector_missing	CAUGHT
C23	seal_area_positive_result_lost	CAUGHT
C24	unit_shape_claimed_at_all_seals	CAUGHT
