premise_id	object	status	role	not_allowed
P01	complete_metric	DERIVED_DATA_PER_REPRESENTATIVE	supplies_G_only	field_equation
P02	reciprocal_angular_split	CONDITIONAL_WHERE_SUPPLIED	define_h_C_Q	universal_tangent_split
P03	Schur_angular_metric	DERIVED_EXACT	q=Q-Ct_hinv_C	raw_Q_as_invariant
P04	phi_depth	FOUNDING_PLUS_DERIVED	normalize_T_phi_one	phi_dynamics
P05	depth_flow	CONDITIONAL_WHERE_DPHI_NONZERO	define_metric_rates	value_at_critical_phi
P06	relative_area_rate	DERIVED_DIAGNOSTIC	full_CSN_invariant	zero_value_assumed
P07	shape_speed	DERIVED_DIAGNOSTIC	tracefree_angular_strain	unit_value_assumed
P08	Reciprocity	PINNED_BY_THEORY	fix_reciprocal_character	angular_equation
P09	CSN	PINNED_BY_THEORY	full_metric_common_scale_only	angular_relative_scale_erasure
P10	finite_cell	PINNED_BY_CANON	finite_domain_and_seal	interior_profile_equation
P11	seal_lifts	PINNED_AS_MULTIPLE_REGISTERED	test_each_lift	unique_lift
P12	caps_topology	PINNED_AS_PARAMETRIC_FAMILIES	test_endpoint_rank_and_jets	interior_dynamics
P13	monodromy	PINNED_AS_GENERAL_FAMILY	test_global_descent	identity_only
P14	Cartan_Bianchi	DERIVED_PER_SUPPLIED_METRIC	consistency_diagnostics	metric_selection
P15	bootstrap	WORKING_ONSHELL_ADMISSIBILITY	audit_current_executable_content	response_equation
P16	c_anchor	OBSERVED_FOUNDING_RETAINED	keep_complete_dimensions	angular_rate_selection
P17	action_source_carrier	OPEN_NOT_USED	scope_guard	native_dynamics_or_matter

