source_id	path	sha256	size	role
S01	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	CSN
S02	udt_angular_generator_branch_census_2026-07-23/AUDIT_REPORT.md	cb7c23006f3cc64b0496f05933ef746b5bf381c8a65c8ea20e87f1a8967a60cb	11081	IMMEDIATE_PARENT
S03	udt_angular_generator_branch_census_2026-07-23/RESULT.json	7e59b17c7e66985e6ec8e1d71cf4b778b48220b360e191fcd603509df70d7064	1465	PARENT_COUNTS
S04	udt_angular_generator_branch_census_2026-07-23/CORRECTION_PREREGISTRATION.md	dfc9feeec9b2104fb4d999813d1c388c5bdbfcbb57cd690c4d3cebd8a985165f	3049	FULL_METRIC_CSN_CORRECTION
S05	udt_reciprocal_angular_intertwiner_audit_2026-07-23/AUDIT_REPORT.md	3d368c4e8c16db18aec43280f8edb3205765d4ebc5349b2795dfb1847e87355d	11732	INTERTWINER_TARGET
S06	udt_reciprocal_angular_intertwiner_audit_2026-07-23/CONDITIONAL_NONBLOCK_WITNESSES.tsv	570866c19ed48d302f688a2cc6439f1fda5f568b028a068370cf292e9841c00b	648	NONBLOCK_CONTROLS
S07	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	30a63dbbc5f566a0ce763d5091fd0ab3c80aee48516c4b0f216d186e046c50ea	4043	SEAL_LIFTS
S08	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	51c756fff55876b65d342dd075b6f215c20ad9af4b1767ccb20efdae1a9cc5a1	10302	SEAL_AND_INTERIOR_FREEDOM
S09	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	2608	TWELVE_COMPLETIONS
S10	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	14055	GLOBAL_COMPLETION_SCOPE
S11	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	5b9fd3563e02ecd8907e0ac632412e3bb1784893c1a66ff2812724f23c71d25d	9439	BOOTSTRAP_STATUS
S12	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	521f6b1e80ea7d7cd1a3993fe4873f4b8dc5e4eee7f586924a5813bad78ac966	6791	MASS_DENSITY_BOOTSTRAP_GAPS
S13	udt_complete_metric_solution_space_map_2026-07-21/GEOMETRIC_COUPLING_MAP.tsv	25a7c5d63cc7630a4b0fbf427025c4e9266cc31c1fd9ab4079a5419f14100fe9	2816	COMPLETE_METRIC_SECTORS
S14	udt_clock_anchor_scale_threading_audit_2026-07-22/AUDIT_REPORT.md	26c3034d4a029ebcb53501abb5e4cb78fad7173c26557572aea3346bdf8a1545	8235	C_ANCHOR
S15	udt_relative_angular_area_shape_selector_audit_2026-07-23/PREREGISTRATION.md	898c8168a46f42be108a2a1202fe567710647f6a45ed5d1583d887d876c4ff75	5152	FROZEN_SCOPE
S16	udt_relative_angular_area_shape_selector_audit_2026-07-23/PREMISE_LEDGER.tsv	5c16217652ed580b9b7b1f0b91d2bb46cab7291df770dfbc5b3c39487cd2790b	1437	FROZEN_PREMISES
S17	udt_relative_angular_area_shape_selector_audit_2026-07-23/SELECTOR_UNIVERSE.tsv	18a36eee6606c9c0491330a5559b47fb3aafea8ea2e67573a897a7b01c080a71	735	FROZEN_SELECTOR_UNIVERSE
