object	status	ownership	forbidden_promotion
pair_half_density_line	DERIVED_CONDITIONAL	typed regular pair carrier	called a globally selected observer plane
metric_half_density_section	DERIVED_CONDITIONAL	supplied regular pair metric	called a history law or fixed volume
kappa	DERIVED_PRESENTATION_COEFFICIENT	calibrated half-density trivialization	called an arbitrary-coordinate scalar or gauge
sigma_BA	DERIVED_CONDITIONAL	total transition after typed carry is supplied	called a metric-selected cross-query comparison
Omega_sc	DERIVED_CONDITIONAL	three supplied carries and endpoint states	called a kappa field equation
single_query_scale_carry	FLAT_ENDPOINT_EXACT	supplied common query chart	called a physical transport force
genuine_overlap_scale_carry	ZERO_ISOMETRIC	proved relation overlap	inferred from shared endpoints alone
levi_civita_scale_carry	ZERO_METRIC_COMPATIBLE	supplied path and pair metric	called nonisometric positional dilation
nonisometric_cross_query_carry_or_holonomy	OPEN	no owner or path functor in frozen source universe	invented from co-presence terminal metrics or an algebraic triangle defect
kappa_history	OPEN	G155 principal rank remains zero	called selected or evolved by G156
