source_id	sha256	bytes	path
S01	0d83baaaa9f0586cb3f3b0cd7af16b201996a124dba6a050c71624a2e638a4fd	8763	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md
S02	a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	4804	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md
S03	337f9d74a18ba3707c7a77468d583d61f8c2ed9937241c37f55b5975027313fd	4045	udt_g132_common_scale_owner_and_anchor_audit_2026-08-16/AUDIT_REPORT.md
S04	6915f0439e1ff1644eef5759da1eeee75180b56880b7cb37b3b6383d68570411	8656	udt_g132_common_scale_owner_and_anchor_audit_2026-08-16/EXACT_DERIVATION.md
S05	84161a8e68f41918e3091fc4e35a3b10dd7fb0e23239cf574b34d23ca3b9fe19	3245	udt_g133_fixed_K_two_density_overlap_descent_2026-08-16/AUDIT_REPORT.md
S06	4d4ac4938942bda36f182ba51e8c790160ba139b8687b16519e85260fb4b56b1	9753	udt_g133_fixed_K_two_density_overlap_descent_2026-08-16/EXACT_DERIVATION.md
S07	1e78843aaf45eeaaf7702e7b0e60cf012b72febe6a21f52b615a16ebe1062687	3528	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/AUDIT_REPORT.md
S08	0782f890b3cfe48c874d4b90b850edf673fcb79042d4622e7cd6394374afb7b5	3686	udt_g141_endpoint_triangular_transition_inverse_join_2026-08-17/AUDIT_REPORT.md
S09	19cafc48140aaee8fdd7fbb510a68f48f1528c67d2d71d185774e220945d58c9	8872	udt_g141_endpoint_triangular_transition_inverse_join_2026-08-17/EXACT_DERIVATION.md
S10	aac5a2ec5c4ed4ea508aff4f65514e54e8d0502980c49f57f3595560596bd96d	2692	udt_g142_abstract_carrier_physical_carry_join_2026-08-17/AUDIT_REPORT.md
S11	8312e0f3b5308db77e5dfe66996510b863d8d7b8e78810132db2ac9fce7b79c8	6703	udt_g142_abstract_carrier_physical_carry_join_2026-08-17/EXACT_DERIVATION.md
S12	e89a2d283ccf5685cbef8a20ad03c9855586c54d8f3c1717b2fd31b26db65d30	1763	udt_g143_single_pair_domain_carry_ownership_2026-08-17/AUDIT_REPORT.md
S13	4aafee94f944bcfe9e1fec6f58c9189d4d04ed347ff0aad3ee8ea025f2111ce2	3973	udt_g143_single_pair_domain_carry_ownership_2026-08-17/EXACT_DERIVATION.md
S14	ea2db403469b8e237635d47da7ee1848c62b7c9c753f669fb4beadd8edc0224c	1739	udt_g144_cross_query_overlap_carry_descent_2026-08-17/AUDIT_REPORT.md
S15	1b56a1ca5853e7f08f9b2867f2c34a01fc19bcd877c2fa1d5372fcf204180204	3667	udt_g144_cross_query_overlap_carry_descent_2026-08-17/EXACT_DERIVATION.md
S16	105c198e887a843e86ad1bc9d6b6327e3521eef212c907857c311d04369a4c69	4060	udt_g154_shared_xmax_asymptotic_response_classification_2026-08-18/AUDIT_REPORT.md
S17	ebd32b24cfd68e4cc66a24604a6c9e7060807b62c5f76cbd2c7900c7c6dd2aa9	5465	udt_g154_shared_xmax_asymptotic_response_classification_2026-08-18/EXTERNAL_REVIEW_ADJUDICATION.md
S18	2c4d58048842b0bac290490294ecab05e8003ced46f4b743708f0e7144e87fb1	6631	udt_g155_scale_sector_closure_whiteboard_2026-08-18/AUDIT_REPORT.md
S19	02cf55ad80b219c5caa5c00e1406290fdace3b5efb1239669f3676c29f6db65e	10939	udt_g155_scale_sector_closure_whiteboard_2026-08-18/EQUATION_ROLE_LEDGER.tsv
